algorithm,repeat,K,T,status,cost,native_cost,cost_definition,target_ratio,post_phase_ratio,target_pulls,non_target_pulls,clipped_cost,requested_cost
Our offline UCB,0,5,200000,ok,27864.0,27864.0,injected samples,1.0,,172111,0,0.0,27864.0
Our offline TS,0,5,200000,ok,41979.0,41979.0,injected samples,1.0,,157996,0,0.0,41979.0
Jun2018 clipped UCB,0,5,200000,failed,80908,80908,online reward-lowering modification count clipped at r_l,0.50689,,101378,98622,36334922.99122298,36415830.99122293
Zuo2024 clipped TS,0,5,200000,failed,47332,47332,online reward-lowering modification count clipped at r_l,0.712235,,142447,57553,8.035799735170766e+17,8.035799735171218e+17
Xu2021 observation-free UCB,0,5,200000,infeasible,,439420.0,corrupted rounds; not simulated because native cost exceeds horizon,,,,,0.0,439420.0
Xu2021 observation-free TS,0,5,200000,infeasible,,439420.0,corrupted rounds; not simulated because native cost exceeds horizon,,,,,0.0,439420.0
Our offline UCB,0,10,200000,ok,36879.0,36879.0,injected samples,1.0,,163071,0,0.0,36879.0
Our offline TS,0,10,200000,ok,53611.0,53611.0,injected samples,1.0,,146339,0,0.0,53611.0
Jun2018 clipped UCB,0,10,200000,failed,120901,120901,online reward-lowering modification count clipped at r_l,0.235995,,47199,152801,57642381.64828907,57763282.64828898
Zuo2024 clipped TS,0,10,200000,failed,86012,86012,online reward-lowering modification count clipped at r_l,0.456765,,91353,108647,1.2727910171753513e+18,1.2727910171754388e+18
Xu2021 observation-free UCB,0,10,200000,infeasible,,878838.0,corrupted rounds; not simulated because native cost exceeds horizon,,,,,0.0,878838.0
Xu2021 observation-free TS,0,10,200000,infeasible,,878838.0,corrupted rounds; not simulated because native cost exceeds horizon,,,,,0.0,878838.0
Our offline UCB,0,15,200000,ok,42836.0,42836.0,injected samples,1.0,,157089,0,0.0,42836.0
Our offline TS,0,15,200000,ok,61258.0,61258.0,injected samples,1.0,,138667,0,0.0,61258.0
Jun2018 clipped UCB,0,15,200000,failed,136453,136453,online reward-lowering modification count clipped at r_l,0.15174,,30348,169652,56272924.880466424,56409377.88046654
