algorithm,repeat,multiplier,Delta_K,S_T_over_T,status,cost
UCB appendix,0,0.0,0.0,0.08482333004202518,ok,41941
UCB direct,0,0.0,0.0,0.08482333004202518,ok,36906
TS appendix,0,0.0,0.0,0.08482333004202518,ok,64850
TS direct,0,0.0,0.0,0.08482333004202518,ok,53631
Xu2021 observation-free UCB,0,0.0,0.0,0.08482333004202518,infeasible,
Xu2021 observation-free TS,0,0.0,0.0,0.08482333004202518,infeasible,
UCB appendix,0,0.1,0.008482333004202518,0.08482333004202518,ok,40026
UCB direct,0,0.1,0.008482333004202518,0.08482333004202518,ok,35511
TS appendix,0,0.1,0.008482333004202518,0.08482333004202518,ok,62819
TS direct,0,0.1,0.008482333004202518,0.08482333004202518,ok,52379
Xu2021 observation-free UCB,0,0.1,0.008482333004202518,0.08482333004202518,infeasible,3392934.0
Xu2021 observation-free TS,0,0.1,0.008482333004202518,0.08482333004202518,infeasible,3392934.0
UCB appendix,0,0.2,0.016964666008405037,0.08482333004202518,ok,38109
UCB direct,0,0.2,0.016964666008405037,0.08482333004202518,ok,34092
TS appendix,0,0.2,0.016964666008405037,0.08482333004202518,ok,60785
TS direct,0,0.2,0.016964666008405037,0.08482333004202518,ok,51106
Xu2021 observation-free UCB,0,0.2,0.016964666008405037,0.08482333004202518,infeasible,848234.0
Xu2021 observation-free TS,0,0.2,0.016964666008405037,0.08482333004202518,infeasible,848234.0
UCB appendix,0,0.3,0.025446999012607552,0.08482333004202518,ok,36193
UCB direct,0,0.3,0.025446999012607552,0.08482333004202518,ok,32649
TS appendix,0,0.3,0.025446999012607552,0.08482333004202518,ok,58748
TS direct,0,0.3,0.025446999012607552,0.08482333004202518,ok,49810
Xu2021 observation-free UCB,0,0.3,0.025446999012607552,0.08482333004202518,infeasible,376994.0
Xu2021 observation-free TS,0,0.3,0.025446999012607552,0.08482333004202518,infeasible,376994.0
UCB appendix,0,0.4,0.033929332016810074,0.08482333004202518,ok,34279
UCB direct,0,0.4,0.033929332016810074,0.08482333004202518,ok,31180
TS appendix,0,0.4,0.033929332016810074,0.08482333004202518,ok,56715
TS direct,0,0.4,0.033929332016810074,0.08482333004202518,ok,48492
Xu2021 observation-free UCB,0,0.4,0.033929332016810074,0.08482333004202518,infeasible,212060.0
Xu2021 observation-free TS,0,0.4,0.033929332016810074,0.08482333004202518,infeasible,212060.0
UCB appendix,0,0.5,0.04241166502101259,0.08482333004202518,ok,32358
UCB direct,0,0.5,0.04241166502101259,0.08482333004202518,ok,29685
TS appendix,0,0.5,0.04241166502101259,0.08482333004202518,ok,54676
TS direct,0,0.5,0.04241166502101259,0.08482333004202518,ok,47150
Xu2021 observation-free UCB,0,0.5,0.04241166502101259,0.08482333004202518,ok,135718.0
Xu2021 observation-free TS,0,0.5,0.04241166502101259,0.08482333004202518,ok,135718.0
UCB appendix,0,0.75,0.06361749753151888,0.08482333004202518,ok,27563
UCB direct,0,0.75,0.06361749753151888,0.08482333004202518,ok,25829
TS appendix,0,0.75,0.06361749753151888,0.08482333004202518,ok,49580
TS direct,0,0.75,0.06361749753151888,0.08482333004202518,ok,43690
