algorithm,repeat,K,status,T,T0,H,Cost_n,target_cost,non_target_total_cost,non_target_avg_cost,S_T,normalized_cost,z_star,allocation_json,n_1,n_2,n_3,n_4,n_5,n_6,n_7,n_8,n_9,n_10,n_11,n_12,n_13,n_14,n_15,n_16,n_17,n_18,n_19,n_20,n_21,n_22,n_23,n_24,n_25,n_26,n_27,n_28,n_29,n_30,n_31,n_32,n_33,n_34,n_35,n_36,n_37,n_38,n_39,n_40,n_41,n_42,n_43,n_44,n_45,n_46,n_47,n_48,n_49,n_50
UCB appendix,0,5,ok,200000,30659,169341,30634,18801,11833,2958.25,13464.864334,2.27510647267,0.0859240473064,"{""n_1"": 2979, ""n_2"": 2938, ""n_3"": 2958, ""n_4"": 2958, ""n_5"": 18801}",2979,2938,2958,2958,18801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UCB direct,0,5,ok,200000,27889,172111,27864,17076,10788,2697,13464.864334,2.06938587042,0.102303379727,"{""n_1"": 2716, ""n_2"": 2678, ""n_3"": 2697, ""n_4"": 2697, ""n_5"": 17076}",2716,2678,2697,2697,17076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TS appendix,0,5,ok,200000,48564,151436,48539,32114,16425,4106.25,13464.864334,3.60486365075,0.122219363557,"{""n_1"": 4123, ""n_2"": 4090, ""n_3"": 4106, ""n_4"": 4106, ""n_5"": 32114}",4123,4090,4106,4106,32114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TS direct,0,5,ok,200000,42004,157996,41979,27651,14328,3582,13464.864334,3.11766973351,0.130900000074,"{""n_1"": 3597, ""n_2"": 3567, ""n_3"": 3582, ""n_4"": 3582, ""n_5"": 27651}",3597,3567,3582,3582,27651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UCB appendix,0,10,ok,200000,41959,158041,41909,25679,16230,1803.33333333,16964.6660084,2.47036988404,0.113783024479,"{""n_1"": 1819, ""n_10"": 25679, ""n_2"": 1819, ""n_3"": 1756, ""n_4"": 1819, ""n_5"": 1819, ""n_6"": 1788, ""n_7"": 1788, ""n_8"": 1819, ""n_9"": 1803}",1819,1819,1756,1819,1819,1788,1788,1819,1803,25679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UCB direct,0,10,ok,200000,36929,163071,36879,22529,14350,1594.44444444,16964.6660084,2.17387126759,0.133544649988,"{""n_1"": 1609, ""n_10"": 22529, ""n_2"": 1609, ""n_3"": 1550, ""n_4"": 1609, ""n_5"": 1609, ""n_6"": 1580, ""n_7"": 1580, ""n_8"": 1609, ""n_9"": 1595}",1609,1609,1550,1609,1609,1580,1580,1609,1595,22529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TS appendix,0,10,ok,200000,64875,135125,64825,41870,22955,2550.55555556,16964.6660084,3.82117749727,0.157122882705,"{""n_1"": 2563, ""n_10"": 41870, ""n_2"": 2563, ""n_3"": 2513, ""n_4"": 2563, ""n_5"": 2563, ""n_6"": 2538, ""n_7"": 2538, ""n_8"": 2563, ""n_9"": 2551}",2563,2563,2513,2563,2563,2538,2538,2563,2551,41870,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TS direct,0,10,ok,200000,53661,146339,53611,34382,19229,2136.55555556,16964.6660084,3.16015652613,0.171750000066,"{""n_1"": 2148, ""n_10"": 34382, ""n_2"": 2148, ""n_3"": 2102, ""n_4"": 2148, ""n_5"": 2148, ""n_6"": 2125, ""n_7"": 2125, ""n_8"": 2148, ""n_9"": 2137}",2148,2148,2102,2148,2148,2125,2125,2148,2137,34382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UCB appendix,0,15,ok,200000,49856,150144,49781,30381,19400,1385.71428571,19419.6948,2.56342854575,0.131870125636,"{""n_1"": 1397, ""n_10"": 1384, ""n_11"": 1384, ""n_12"": 1384, ""n_13"": 1384, ""n_14"": 1384, ""n_15"": 30381, ""n_2"": 1397, ""n_3"": 1370, ""n_4"": 1397, ""n_5"": 1384, ""n_6"": 1384, ""n_7"": 1397, ""n_8"": 1370, ""n_9"": 1384}",1397,1397,1370,1397,1384,1384,1397,1370,1384,1384,1384,1384,1384,1384,30381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UCB direct,0,15,ok,200000,42911,157089,42836,25966,16870,1205,19419.6948,2.20580191611,0.154092469181,"{""n_1"": 1216, ""n_10"": 1203, ""n_11"": 1203, ""n_12"": 1203, ""n_13"": 1203, ""n_14"": 1203, ""n_15"": 25966, ""n_2"": 1216, ""n_3"": 1191, ""n_4"": 1216, ""n_5"": 1203, ""n_6"": 1203, ""n_7"": 1216, ""n_8"": 1191, ""n_9"": 1203}",1216,1216,1191,1216,1203,1203,1216,1191,1203,1203,1203,1203,1203,1203,25966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TS appendix,0,15,ok,200000,76437,123563,76362,48606,27756,1982.57142857,19419.6948,3.93219362027,0.179642644175,"{""n_1"": 1992, ""n_10"": 1981, ""n_11"": 1981, ""n_12"": 1981, ""n_13"": 1981, ""n_14"": 1981, ""n_15"": 48606, ""n_2"": 1992, ""n_3"": 1970, ""n_4"": 1992, ""n_5"": 1981, ""n_6"": 1981, ""n_7"": 1992, ""n_8"": 1970, ""n_9"": 1981}",1992,1992,1970,1992,1981,1981,1992,1970,1981,1981,1981,1981,1981,1981,48606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TS direct,0,15,ok,200000,61333,138667,61258,38488,22770,1626.42857143,19419.6948,3.1544265052,0.19845000006,"{""n_1"": 1635, ""n_10"": 1625, ""n_11"": 1625, ""n_12"": 1625, ""n_13"": 1625, ""n_14"": 1625, ""n_15"": 38488, ""n_2"": 1635, ""n_3"": 1615, ""n_4"": 1635, ""n_5"": 1625, ""n_6"": 1625, ""n_7"": 1635, ""n_8"": 1615, ""n_9"": 1625}",1635,1635,1615,1635,1625,1625,1635,1615,1625,1625,1625,1625,1625,1625,38488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
