algorithm,repeat,K,T,status,cost,native_cost,cost_definition,target_ratio,post_phase_ratio,target_pulls,non_target_pulls,clipped_cost,requested_cost
Our offline UCB,0,5,200000,ok,27868.0,27868.0,injected samples,1.0,,172107,0,0.0,27868.0
Our offline TS,0,5,200000,ok,41982.0,41982.0,injected samples,1.0,,157993,0,0.0,41982.0
Jun2018 clipped UCB,0,5,200000,failed,90973,90973,online reward-lowering modification count clipped at r_l,0.542585,,108517,91483,30212886.591401573,30288113.480290268
Zuo2024 clipped TS,0,5,200000,failed,47498,47498,online reward-lowering modification count clipped at r_l,0.76116,,152232,47768,5.5357130060367123e+17,5.5357130060371066e+17
Xu2021 observation-free UCB,0,5,200000,infeasible,,355930.0,corrupted rounds; not simulated because native cost exceeds horizon,,,,,0.0,355930.0
Xu2021 observation-free TS,0,5,200000,infeasible,,355930.0,corrupted rounds; not simulated because native cost exceeds horizon,,,,,0.0,355930.0
Our offline UCB,0,10,200000,ok,36867.0,36867.0,injected samples,1.0,,163083,0,0.0,36867.0
Our offline TS,0,10,200000,ok,53602.0,53602.0,injected samples,1.0,,146348,0,0.0,53602.0
Jun2018 clipped UCB,0,10,200000,failed,144378,144378,online reward-lowering modification count clipped at r_l,0.27294,,54588,145412,46969903.421119906,47086553.42112037
Zuo2024 clipped TS,0,10,200000,failed,96571,96571,online reward-lowering modification count clipped at r_l,0.513885,,102777,97223,1.0192295687416351e+18,1.0192295687417135e+18
Xu2021 observation-free UCB,0,10,200000,infeasible,,711860.0,corrupted rounds; not simulated because native cost exceeds horizon,,,,,0.0,711860.0
Xu2021 observation-free TS,0,10,200000,infeasible,,711860.0,corrupted rounds; not simulated because native cost exceeds horizon,,,,,0.0,711860.0
Our offline UCB,0,15,200000,ok,42807.0,42807.0,injected samples,1.0,,157118,0,0.0,42807.0
Our offline TS,0,15,200000,ok,61239.0,61239.0,injected samples,1.0,,138686,0,0.0,61239.0
Jun2018 clipped UCB,0,15,200000,failed,166742,166742,online reward-lowering modification count clipped at r_l,0.15971,,31942,168058,53109092.21793414,53243208.10682354
Zuo2024 clipped TS,0,15,200000,failed,132597,132597,online reward-lowering modification count clipped at r_l,0.332175,,66435,133565,1.236615416875506e+18,1.2366154168756142e+18
Xu2021 observation-free UCB,0,15,200000,infeasible,,1067788.0,corrupted rounds; not simulated because native cost exceeds horizon,,,,,0.0,1067788.0
Xu2021 observation-free TS,0,15,200000,infeasible,,1067788.0,corrupted rounds; not simulated because native cost exceeds horizon,,,,,0.0,1067788.0
Our offline UCB,0,20,200000,ok,47389.0,47389.0,injected samples,1.0,,152511,0,0.0,47389.0
Our offline TS,0,20,200000,ok,67103.0,67103.0,injected samples,1.0,,132797,0,0.0,67103.0
Jun2018 clipped UCB,0,20,200000,failed,177044,177044,online reward-lowering modification count clipped at r_l,0.10856,,21712,178288,53038357.32076662,53181426.5429883
Zuo2024 clipped TS,0,20,200000,failed,154341,154341,online reward-lowering modification count clipped at r_l,0.22255,,44510,155490,1.2348826331633859e+18,1.2348826331635082e+18
Xu2021 observation-free UCB,0,20,200000,infeasible,,1423718.0,corrupted rounds; not simulated because native cost exceeds horizon,,,,,0.0,1423718.0
Xu2021 observation-free TS,0,20,200000,infeasible,,1423718.0,corrupted rounds; not simulated because native cost exceeds horizon,,,,,0.0,1423718.0
Our offline UCB,0,30,200000,ok,54408.0,54408.0,injected samples,1.0,,145442,0,0.0,54408.0
Our offline TS,0,30,200000,ok,76065.0,76065.0,injected samples,1.0,,123785,0,0.0,76065.0
Jun2018 clipped UCB,0,30,200000,failed,186196,186196,online reward-lowering modification count clipped at r_l,0.06219,,12438,187562,50536825.60624737,50685039.93958001
Zuo2024 clipped TS,0,30,200000,failed,176014,176014,online reward-lowering modification count clipped at r_l,0.11359,,22718,177282,1.0517807855555276e+18,1.0517807855556666e+18
Xu2021 observation-free UCB,0,30,200000,infeasible,,2135576.0,corrupted rounds; not simulated because native cost exceeds horizon,,,,,0.0,2135576.0
Xu2021 observation-free TS,0,30,200000,infeasible,,2135576.0,corrupted rounds; not simulated because native cost exceeds horizon,,,,,0.0,2135576.0
Our offline UCB,0,40,200000,ok,59887.0,59887.0,injected samples,1.0,,139913,0,0.0,59887.0
Our offline TS,0,40,200000,ok,82997.0,82997.0,injected samples,1.0,,116803,0,0.0,82997.0
Jun2018 clipped UCB,0,40,200000,failed,189909,189909,online reward-lowering modification count clipped at r_l,0.04374,,8748,191252,46446130.61007094,46593923.49896178
Zuo2024 clipped TS,0,40,200000,failed,185101,185101,online reward-lowering modification count clipped at r_l,0.067625,,13525,186475,8.653778311775429e+17,8.653778311776876e+17
Xu2021 observation-free UCB,0,40,200000,infeasible,,2847434.0,corrupted rounds; not simulated because native cost exceeds horizon,,,,,0.0,2847434.0
Xu2021 observation-free TS,0,40,200000,infeasible,,2847434.0,corrupted rounds; not simulated because native cost exceeds horizon,,,,,0.0,2847434.0
Our offline UCB,0,50,200000,ok,64365.0,64365.0,injected samples,1.0,,135385,0,0.0,64365.0
Our offline TS,0,50,200000,ok,88641.0,88641.0,injected samples,1.0,,111109,0,0.0,88641.0
Jun2018 clipped UCB,0,50,200000,failed,192106,192106,online reward-lowering modification count clipped at r_l,0.032535,,6507,193493,43825037.12883752,43974269.01772715
Zuo2024 clipped TS,0,50,200000,failed,188593,188593,online reward-lowering modification count clipped at r_l,0.04989,,9978,190022,7.152438610257741e+17,7.152438610259164e+17
Xu2021 observation-free UCB,0,50,200000,infeasible,,3559292.0,corrupted rounds; not simulated because native cost exceeds horizon,,,,,0.0,3559292.0
Xu2021 observation-free TS,0,50,200000,infeasible,,3559292.0,corrupted rounds; not simulated because native cost exceeds horizon,,,,,0.0,3559292.0
Our offline UCB,1,5,200000,ok,27858.0,27858.0,injected samples,1.0,,172117,0,0.0,27858.0
Our offline TS,1,5,200000,ok,41975.0,41975.0,injected samples,1.0,,158000,0,0.0,41975.0
Jun2018 clipped UCB,1,5,200000,failed,92042,92042,online reward-lowering modification count clipped at r_l,0.53722,,107444,92556,30973741.785251062,31049929.118584428
Zuo2024 clipped TS,1,5,200000,failed,48781,48781,online reward-lowering modification count clipped at r_l,0.754705,,150941,49059,5.838966560454319e+17,5.838966560454714e+17
Xu2021 observation-free UCB,1,5,200000,infeasible,,355930.0,corrupted rounds; not simulated because native cost exceeds horizon,,,,,0.0,355930.0
Xu2021 observation-free TS,1,5,200000,infeasible,,355930.0,corrupted rounds; not simulated because native cost exceeds horizon,,,,,0.0,355930.0
Our offline UCB,1,10,200000,ok,36868.0,36868.0,injected samples,1.0,,163082,0,0.0,36868.0
Our offline TS,1,10,200000,ok,53604.0,53604.0,injected samples,1.0,,146346,0,0.0,53604.0
Jun2018 clipped UCB,1,10,200000,failed,146669,146669,online reward-lowering modification count clipped at r_l,0.26181,,52362,147638,51008256.91530876,51126609.69308597
Zuo2024 clipped TS,1,10,200000,failed,97247,97247,online reward-lowering modification count clipped at r_l,0.51042,,102084,97916,1.0337802649078461e+18,1.0337802649079238e+18
Xu2021 observation-free UCB,1,10,200000,infeasible,,711860.0,corrupted rounds; not simulated because native cost exceeds horizon,,,,,0.0,711860.0
Xu2021 observation-free TS,1,10,200000,infeasible,,711860.0,corrupted rounds; not simulated because native cost exceeds horizon,,,,,0.0,711860.0
Our offline UCB,1,15,200000,ok,42830.0,42830.0,injected samples,1.0,,157095,0,0.0,42830.0
Our offline TS,1,15,200000,ok,61255.0,61255.0,injected samples,1.0,,138670,0,0.0,61255.0
Jun2018 clipped UCB,1,15,200000,failed,166692,166692,online reward-lowering modification count clipped at r_l,0.1605,,32100,167900,52891382.93920384,53025464.828092664
Zuo2024 clipped TS,1,15,200000,failed,131299,131299,online reward-lowering modification count clipped at r_l,0.33844,,67688,132312,1.2135125003022497e+18,1.213512500302356e+18
Xu2021 observation-free UCB,1,15,200000,infeasible,,1067788.0,corrupted rounds; not simulated because native cost exceeds horizon,,,,,0.0,1067788.0
Xu2021 observation-free TS,1,15,200000,infeasible,,1067788.0,corrupted rounds; not simulated because native cost exceeds horizon,,,,,0.0,1067788.0
Our offline UCB,1,20,200000,ok,47376.0,47376.0,injected samples,1.0,,152524,0,0.0,47376.0
Our offline TS,1,20,200000,ok,67093.0,67093.0,injected samples,1.0,,132807,0,0.0,67093.0
Jun2018 clipped UCB,1,20,200000,failed,177338,177338,online reward-lowering modification count clipped at r_l,0.10681,,21362,178638,53630075.31567296,53773459.53789643
Zuo2024 clipped TS,1,20,200000,failed,153520,153520,online reward-lowering modification count clipped at r_l,0.22715,,45430,154570,1.2203459524464522e+18,1.220345952446572e+18
Xu2021 observation-free UCB,1,20,200000,infeasible,,1423718.0,corrupted rounds; not simulated because native cost exceeds horizon,,,,,0.0,1423718.0
Xu2021 observation-free TS,1,20,200000,infeasible,,1423718.0,corrupted rounds; not simulated because native cost exceeds horizon,,,,,0.0,1423718.0
Our offline UCB,1,30,200000,ok,54413.0,54413.0,injected samples,1.0,,145437,0,0.0,54413.0
Our offline TS,1,30,200000,ok,76070.0,76070.0,injected samples,1.0,,123780,0,0.0,76070.0
Jun2018 clipped UCB,1,30,200000,failed,186075,186075,online reward-lowering modification count clipped at r_l,0.06293,,12586,187414,50005274.1148509,50153338.78151915
Zuo2024 clipped TS,1,30,200000,failed,175203,175203,online reward-lowering modification count clipped at r_l,0.11742,,23484,176516,1.0427221264274659e+18,1.0427221264276068e+18
Xu2021 observation-free UCB,1,30,200000,infeasible,,2135576.0,corrupted rounds; not simulated because native cost exceeds horizon,,,,,0.0,2135576.0
Xu2021 observation-free TS,1,30,200000,infeasible,,2135576.0,corrupted rounds; not simulated because native cost exceeds horizon,,,,,0.0,2135576.0
Our offline UCB,1,40,200000,ok,59892.0,59892.0,injected samples,1.0,,139908,0,0.0,59892.0
Our offline TS,1,40,200000,ok,83001.0,83001.0,injected samples,1.0,,116799,0,0.0,83001.0
Jun2018 clipped UCB,1,40,200000,failed,189974,189974,online reward-lowering modification count clipped at r_l,0.043315,,8663,191337,46605327.66828269,46753193.00161443
Zuo2024 clipped TS,1,40,200000,failed,184445,184445,online reward-lowering modification count clipped at r_l,0.07094,,14188,185812,8.592310986309322e+17,8.592310986310735e+17
Xu2021 observation-free UCB,1,40,200000,infeasible,,2847434.0,corrupted rounds; not simulated because native cost exceeds horizon,,,,,0.0,2847434.0
Xu2021 observation-free TS,1,40,200000,infeasible,,2847434.0,corrupted rounds; not simulated because native cost exceeds horizon,,,,,0.0,2847434.0
Our offline UCB,1,50,200000,ok,64408.0,64408.0,injected samples,1.0,,135342,0,0.0,64408.0
Our offline TS,1,50,200000,ok,88670.0,88670.0,injected samples,1.0,,111080,0,0.0,88670.0
Jun2018 clipped UCB,1,50,200000,failed,192053,192053,online reward-lowering modification count clipped at r_l,0.032585,,6517,193483,43453056.347780965,43602182.90333495
