algorithm,repeat,multiplier,Delta_K,S_T_over_T,status,cost
UCB appendix,0,0.0,0.0,0.08482333004202518,ok,41883
UCB direct,0,0.0,0.0,0.08482333004202518,ok,36860
TS appendix,0,0.0,0.0,0.08482333004202518,ok,64805
TS direct,0,0.0,0.0,0.08482333004202518,ok,53599
Xu2021 observation-free UCB,0,0.0,0.0,0.08482333004202518,infeasible,
Xu2021 observation-free TS,0,0.0,0.0,0.08482333004202518,infeasible,
UCB appendix,0,0.1,0.008482333004202518,0.08482333004202518,ok,39970
UCB direct,0,0.1,0.008482333004202518,0.08482333004202518,ok,35465
TS appendix,0,0.1,0.008482333004202518,0.08482333004202518,ok,62773
TS direct,0,0.1,0.008482333004202518,0.08482333004202518,ok,52347
Xu2021 observation-free UCB,0,0.1,0.008482333004202518,0.08482333004202518,infeasible,3392934.0
Xu2021 observation-free TS,0,0.1,0.008482333004202518,0.08482333004202518,infeasible,3392934.0
UCB appendix,0,0.2,0.016964666008405037,0.08482333004202518,ok,38055
UCB direct,0,0.2,0.016964666008405037,0.08482333004202518,ok,34046
TS appendix,0,0.2,0.016964666008405037,0.08482333004202518,ok,60741
TS direct,0,0.2,0.016964666008405037,0.08482333004202518,ok,51073
Xu2021 observation-free UCB,0,0.2,0.016964666008405037,0.08482333004202518,infeasible,848234.0
Xu2021 observation-free TS,0,0.2,0.016964666008405037,0.08482333004202518,infeasible,848234.0
UCB appendix,0,0.3,0.025446999012607552,0.08482333004202518,ok,36139
UCB direct,0,0.3,0.025446999012607552,0.08482333004202518,ok,32602
TS appendix,0,0.3,0.025446999012607552,0.08482333004202518,ok,58703
TS direct,0,0.3,0.025446999012607552,0.08482333004202518,ok,49777
Xu2021 observation-free UCB,0,0.3,0.025446999012607552,0.08482333004202518,infeasible,376994.0
Xu2021 observation-free TS,0,0.3,0.025446999012607552,0.08482333004202518,infeasible,376994.0
UCB appendix,0,0.4,0.033929332016810074,0.08482333004202518,ok,34221
UCB direct,0,0.4,0.033929332016810074,0.08482333004202518,ok,31132
TS appendix,0,0.4,0.033929332016810074,0.08482333004202518,ok,56669
TS direct,0,0.4,0.033929332016810074,0.08482333004202518,ok,48459
Xu2021 observation-free UCB,0,0.4,0.033929332016810074,0.08482333004202518,infeasible,212060.0
Xu2021 observation-free TS,0,0.4,0.033929332016810074,0.08482333004202518,infeasible,212060.0
UCB appendix,0,0.5,0.04241166502101259,0.08482333004202518,ok,32304
UCB direct,0,0.5,0.04241166502101259,0.08482333004202518,ok,29637
TS appendix,0,0.5,0.04241166502101259,0.08482333004202518,ok,54633
TS direct,0,0.5,0.04241166502101259,0.08482333004202518,ok,47117
Xu2021 observation-free UCB,0,0.5,0.04241166502101259,0.08482333004202518,ok,135718.0
Xu2021 observation-free TS,0,0.5,0.04241166502101259,0.08482333004202518,ok,135718.0
UCB appendix,0,0.75,0.06361749753151888,0.08482333004202518,ok,27508
UCB direct,0,0.75,0.06361749753151888,0.08482333004202518,ok,25780
TS appendix,0,0.75,0.06361749753151888,0.08482333004202518,ok,49536
TS direct,0,0.75,0.06361749753151888,0.08482333004202518,ok,43655
Xu2021 observation-free UCB,0,0.75,0.06361749753151888,0.08482333004202518,ok,60320.0
Xu2021 observation-free TS,0,0.75,0.06361749753151888,0.08482333004202518,ok,60320.0
UCB appendix,0,1.0,0.08482333004202518,0.08482333004202518,ok,22705
UCB direct,0,1.0,0.08482333004202518,0.08482333004202518,ok,21744
TS appendix,0,1.0,0.08482333004202518,0.08482333004202518,ok,44431
TS direct,0,1.0,0.08482333004202518,0.08482333004202518,ok,40034
Xu2021 observation-free UCB,0,1.0,0.08482333004202518,0.08482333004202518,ok,33930.0
Xu2021 observation-free TS,0,1.0,0.08482333004202518,0.08482333004202518,ok,33930.0
UCB appendix,0,1.5,0.12723499506303776,0.08482333004202518,ok,13260
UCB direct,0,1.5,0.12723499506303776,0.08482333004202518,ok,13177
TS appendix,0,1.5,0.12723499506303776,0.08482333004202518,ok,34204
TS direct,0,1.5,0.12723499506303776,0.08482333004202518,ok,32262
Xu2021 observation-free UCB,0,1.5,0.12723499506303776,0.08482333004202518,ok,15080.0
Xu2021 observation-free TS,0,1.5,0.12723499506303776,0.08482333004202518,ok,15080.0
UCB appendix,0,2.0,0.16964666008405035,0.08482333004202518,ok,7858
UCB direct,0,2.0,0.16964666008405035,0.08482333004202518,ok,7831
TS appendix,0,2.0,0.16964666008405035,0.08482333004202518,ok,23945
TS direct,0,2.0,0.16964666008405035,0.08482333004202518,ok,23697
Xu2021 observation-free UCB,0,2.0,0.16964666008405035,0.08482333004202518,ok,8484.0
Xu2021 observation-free TS,0,2.0,0.16964666008405035,0.08482333004202518,ok,8484.0
UCB appendix,0,3.0,0.2544699901260755,0.08482333004202518,ok,3712
UCB direct,0,3.0,0.2544699901260755,0.08482333004202518,ok,3699
TS appendix,0,3.0,0.2544699901260755,0.08482333004202518,ok,11331
TS direct,0,3.0,0.2544699901260755,0.08482333004202518,ok,11321
Xu2021 observation-free UCB,0,3.0,0.2544699901260755,0.08482333004202518,ok,3770.0
Xu2021 observation-free TS,0,3.0,0.2544699901260755,0.08482333004202518,ok,3770.0
UCB appendix,0,4.0,0.3392933201681007,0.08482333004202518,ok,2167
UCB direct,0,4.0,0.3392933201681007,0.08482333004202518,ok,2158
TS appendix,0,4.0,0.3392933201681007,0.08482333004202518,ok,6752
TS direct,0,4.0,0.3392933201681007,0.08482333004202518,ok,6742
Xu2021 observation-free UCB,0,4.0,0.3392933201681007,0.08482333004202518,ok,2122.0
Xu2021 observation-free TS,0,4.0,0.3392933201681007,0.08482333004202518,ok,2122.0
UCB appendix,0,5.0,0.4241166502101259,0.08482333004202518,ok,1422
UCB direct,0,5.0,0.4241166502101259,0.08482333004202518,ok,1414
TS appendix,0,5.0,0.4241166502101259,0.08482333004202518,ok,4580
TS direct,0,5.0,0.4241166502101259,0.08482333004202518,ok,4571
Xu2021 observation-free UCB,0,5.0,0.4241166502101259,0.08482333004202518,ok,1358.0
Xu2021 observation-free TS,0,5.0,0.4241166502101259,0.08482333004202518,ok,1358.0
UCB appendix,0,6.0,0.508939980252151,0.08482333004202518,ok,1008
UCB direct,0,6.0,0.508939980252151,0.08482333004202518,ok,999
TS appendix,0,6.0,0.508939980252151,0.08482333004202518,ok,3386
TS direct,0,6.0,0.508939980252151,0.08482333004202518,ok,3377
Xu2021 observation-free UCB,0,6.0,0.508939980252151,0.08482333004202518,ok,944.0
Xu2021 observation-free TS,0,6.0,0.508939980252151,0.08482333004202518,ok,944.0
UCB appendix,1,0.0,0.0,0.08482333004202518,ok,41904
UCB direct,1,0.0,0.0,0.08482333004202518,ok,36878
TS appendix,1,0.0,0.0,0.08482333004202518,ok,64821
TS direct,1,0.0,0.0,0.08482333004202518,ok,53611
Xu2021 observation-free UCB,1,0.0,0.0,0.08482333004202518,infeasible,
Xu2021 observation-free TS,1,0.0,0.0,0.08482333004202518,infeasible,
UCB appendix,1,0.1,0.008482333004202518,0.08482333004202518,ok,39990
UCB direct,1,0.1,0.008482333004202518,0.08482333004202518,ok,35483
TS appendix,1,0.1,0.008482333004202518,0.08482333004202518,ok,62790
TS direct,1,0.1,0.008482333004202518,0.08482333004202518,ok,52359
Xu2021 observation-free UCB,1,0.1,0.008482333004202518,0.08482333004202518,infeasible,3392934.0
Xu2021 observation-free TS,1,0.1,0.008482333004202518,0.08482333004202518,infeasible,3392934.0
UCB appendix,1,0.2,0.016964666008405037,0.08482333004202518,ok,38075
UCB direct,1,0.2,0.016964666008405037,0.08482333004202518,ok,34064
TS appendix,1,0.2,0.016964666008405037,0.08482333004202518,ok,60755
TS direct,1,0.2,0.016964666008405037,0.08482333004202518,ok,51086
Xu2021 observation-free UCB,1,0.2,0.016964666008405037,0.08482333004202518,infeasible,848234.0
Xu2021 observation-free TS,1,0.2,0.016964666008405037,0.08482333004202518,infeasible,848234.0
UCB appendix,1,0.3,0.025446999012607552,0.08482333004202518,ok,36160
UCB direct,1,0.3,0.025446999012607552,0.08482333004202518,ok,32620
TS appendix,1,0.3,0.025446999012607552,0.08482333004202518,ok,58721
TS direct,1,0.3,0.025446999012607552,0.08482333004202518,ok,49790
Xu2021 observation-free UCB,1,0.3,0.025446999012607552,0.08482333004202518,infeasible,376994.0
Xu2021 observation-free TS,1,0.3,0.025446999012607552,0.08482333004202518,infeasible,376994.0
UCB appendix,1,0.4,0.033929332016810074,0.08482333004202518,ok,34242
UCB direct,1,0.4,0.033929332016810074,0.08482333004202518,ok,31150
TS appendix,1,0.4,0.033929332016810074,0.08482333004202518,ok,56687
TS direct,1,0.4,0.033929332016810074,0.08482333004202518,ok,48471
Xu2021 observation-free UCB,1,0.4,0.033929332016810074,0.08482333004202518,infeasible,212060.0
Xu2021 observation-free TS,1,0.4,0.033929332016810074,0.08482333004202518,infeasible,212060.0
UCB appendix,1,0.5,0.04241166502101259,0.08482333004202518,ok,32325
UCB direct,1,0.5,0.04241166502101259,0.08482333004202518,ok,29655
TS appendix,1,0.5,0.04241166502101259,0.08482333004202518,ok,54649
TS direct,1,0.5,0.04241166502101259,0.08482333004202518,ok,47129
Xu2021 observation-free UCB,1,0.5,0.04241166502101259,0.08482333004202518,ok,135718.0
Xu2021 observation-free TS,1,0.5,0.04241166502101259,0.08482333004202518,ok,135718.0
UCB appendix,1,0.75,0.06361749753151888,0.08482333004202518,ok,27527
UCB direct,1,0.75,0.06361749753151888,0.08482333004202518,ok,25798
TS appendix,1,0.75,0.06361749753151888,0.08482333004202518,ok,49553
TS direct,1,0.75,0.06361749753151888,0.08482333004202518,ok,43669
Xu2021 observation-free UCB,1,0.75,0.06361749753151888,0.08482333004202518,ok,60320.0
Xu2021 observation-free TS,1,0.75,0.06361749753151888,0.08482333004202518,ok,60320.0
UCB appendix,1,1.0,0.08482333004202518,0.08482333004202518,ok,22725
UCB direct,1,1.0,0.08482333004202518,0.08482333004202518,ok,21763
TS appendix,1,1.0,0.08482333004202518,0.08482333004202518,ok,44448
TS direct,1,1.0,0.08482333004202518,0.08482333004202518,ok,40047
Xu2021 observation-free UCB,1,1.0,0.08482333004202518,0.08482333004202518,ok,33930.0
Xu2021 observation-free TS,1,1.0,0.08482333004202518,0.08482333004202518,ok,33930.0
UCB appendix,1,1.5,0.12723499506303776,0.08482333004202518,ok,13280
UCB direct,1,1.5,0.12723499506303776,0.08482333004202518,ok,13195
TS appendix,1,1.5,0.12723499506303776,0.08482333004202518,ok,34220
