algorithm,repeat,T,status,native_cost,target_ratio,post_phase_ratio,target_pulls,non_target_pulls,clipped_cost,requested_cost,sample_equivalent_cost
Jun2018 clipped UCB,0,100000,failed,79144,0.20291,,20291,79709,23046678.5761422,23110483.68725333,
Zuo2024 clipped TS,0,100000,failed,63653,0.35931,,35931,64069,4.4263863273250906e+17,4.426386327325599e+17,
Xu2021 observation-free UCB,0,100000,infeasible,671434.0,,,,,0.0,671434.0,6714340.0
Xu2021 observation-free TS,0,100000,infeasible,671434.0,,,,,0.0,671434.0,6714340.0
Jun2018 clipped UCB,0,250000,failed,174920,0.295696,,73924,176076,60930957.748811595,61072399.0821459,
Zuo2024 clipped TS,0,250000,failed,109433,0.559392,,139848,110152,1.308307599475845e+18,1.3083075994759324e+18,
Xu2021 observation-free UCB,0,250000,infeasible,724872.0,,,,,0.0,724872.0,7248720.0
Xu2021 observation-free TS,0,250000,infeasible,724872.0,,,,,0.0,724872.0,7248720.0
Jun2018 clipped UCB,0,500000,failed,287355,0.421462,,210731,289269,100124419.89499949,100356659.78388774,
Zuo2024 clipped TS,0,500000,failed,140526,0.717006,,358503,141497,2.1587449212843814e+18,2.1587449212844928e+18,
Xu2021 observation-free UCB,0,500000,infeasible,765298.0,,,,,0.0,765298.0,7652980.0
Xu2021 observation-free TS,0,500000,infeasible,765298.0,,,,,0.0,765298.0,7652980.0
Jun2018 clipped UCB,0,1000000,failed,416282,0.581013,,581013,418987,122258492.93977128,122594847.82866238,
Zuo2024 clipped TS,0,1000000,failed,174638,0.824173,,824173,175827,3.333281605317455e+18,3.333281605317596e+18,
Xu2021 observation-free UCB,0,1000000,simulated,805722.0,0.637417,1.0,637417,362583,0.0,805722.0,8057220.0
Xu2021 observation-free TS,0,1000000,simulated,805722.0,0.63732,1.0,637320,362680,0.0,805722.0,8057220.0
Jun2018 clipped UCB,0,2500000,failed,700537,0.7179508,,1794877,705123,128123097.62486099,128687555.49630542,
Zuo2024 clipped TS,0,2500000,failed,217646,0.9123444,,2280861,219139,5.177684134417681e+18,5.177684134417862e+18,
Xu2021 observation-free UCB,0,2500000,simulated,859160.0,0.8453476,1.0,2113369,386631,0.0,859160.0,8591600.0
Xu2021 observation-free TS,0,2500000,simulated,859160.0,0.84538,1.0,2113450,386550,0.0,859160.0,8591600.0
Jun2018 clipped UCB,0,5000000,failed,1039125,0.7908112,,3954056,1045944,127545184.03072308,128380473.61092985,
Zuo2024 clipped TS,0,5000000,failed,249646,0.9497456,,4748728,251272,6.80744535545449e+18,6.807445355454694e+18,
Xu2021 observation-free UCB,0,5000000,simulated,899584.0,0.919036,1.0,4595180,404820,0.0,899584.0,8995840.0
Xu2021 observation-free TS,0,5000000,simulated,899584.0,0.9190268,1.0,4595134,404866,0.0,899584.0,8995840.0
Jun2018 clipped UCB,0,10000000,failed,1430571,0.8559811,,8559811,1440189,124020654.06475353,125168985.23120467,
Zuo2024 clipped TS,0,10000000,failed,281251,0.9716891,,9716891,283109,8.641705575967174e+18,8.641705575967405e+18,
Xu2021 observation-free UCB,0,10000000,simulated,940008.0,0.9576991,1.0,9576991,423009,0.0,940008.0,9400080.0
Xu2021 observation-free TS,0,10000000,simulated,940008.0,0.9576827,1.0,9576827,423173,0.0,940008.0,9400080.0
Jun2018 clipped UCB,0,15000000,failed,1671782,0.8878024,,13317036,1682964,128012674.57727249,129353343.99119724,
Zuo2024 clipped TS,0,15000000,failed,300998,0.9798028,,14697042,302958,9.895910695582747e+18,9.895910695582984e+18,
Xu2021 observation-free UCB,0,15000000,simulated,963656.0,0.9710902,1.0,14566353,433647,0.0,963656.0,9636560.0
Xu2021 observation-free TS,0,15000000,simulated,963656.0,0.9710987333333333,1.0,14566481,433519,0.0,963656.0,9636560.0
Jun2018 clipped UCB,0,20000000,failed,1844132,0.9071785,,18143570,1856430,126941360.36726251,128419526.89975922,
Zuo2024 clipped TS,0,20000000,failed,314563,0.9841698,,19683396,316604,1.0807479707474858e+19,1.0807479707475112e+19,
Xu2021 observation-free UCB,0,20000000,simulated,980432.0,0.9779401,1.0,19558802,441198,0.0,980432.0,9804320.0
Xu2021 observation-free TS,0,20000000,simulated,980432.0,0.9779418,1.0,19558836,441164,0.0,980432.0,9804320.0
Jun2018 clipped UCB,0,25000000,failed,1977132,0.920383,,23009575,1990425,124822247.48766662,126406330.64289992,
Zuo2024 clipped TS,0,25000000,failed,324641,0.98692684,,24673171,326829,1.1516772791453913e+19,1.1516772791454167e+19,
Xu2021 observation-free UCB,0,25000000,simulated,993446.0,0.98211772,1.0,24552943,447057,0.0,993446.0,9934460.0
Xu2021 observation-free TS,0,25000000,simulated,993446.0,0.98211548,1.0,24552887,447113,0.0,993446.0,9934460.0
Jun2018 clipped UCB,1,100000,failed,79272,0.20195,,20195,79805,23022180.933586743,23086171.155809306,
Zuo2024 clipped TS,1,100000,failed,63588,0.35979,,35979,64021,4.4197082612648934e+17,4.419708261265414e+17,
Xu2021 observation-free UCB,1,100000,infeasible,671434.0,,,,,0.0,671434.0,6714340.0
Xu2021 observation-free TS,1,100000,infeasible,671434.0,,,,,0.0,671434.0,6714340.0
Jun2018 clipped UCB,1,250000,failed,175303,0.294304,,73576,176424,60992365.43045295,61133980.208230086,
Zuo2024 clipped TS,1,250000,failed,108110,0.564776,,141194,108806,1.2765225003290324e+18,1.2765225003291185e+18,
Xu2021 observation-free UCB,1,250000,infeasible,724872.0,,,,,0.0,724872.0,7248720.0
Xu2021 observation-free TS,1,250000,infeasible,724872.0,,,,,0.0,724872.0,7248720.0
Jun2018 clipped UCB,1,500000,failed,286129,0.423972,,211986,288014,97529873.01012221,97761095.01012173,
Zuo2024 clipped TS,1,500000,failed,141058,0.71605,,358025,141975,2.1734039645424056e+18,2.173403964542519e+18,
Xu2021 observation-free UCB,1,500000,infeasible,765298.0,,,,,0.0,765298.0,7652980.0
Xu2021 observation-free TS,1,500000,infeasible,765298.0,,,,,0.0,765298.0,7652980.0
Jun2018 clipped UCB,1,1000000,failed,416650,0.580633,,580633,419367,125077036.9335127,125413559.37795159,
Zuo2024 clipped TS,1,1000000,failed,175198,0.823684,,823684,176316,3.351864949966607e+18,3.351864949966754e+18,
Xu2021 observation-free UCB,1,1000000,simulated,805722.0,0.637417,1.0,637417,362583,0.0,805722.0,8057220.0
Xu2021 observation-free TS,1,1000000,simulated,805722.0,0.637462,1.0,637462,362538,0.0,805722.0,8057220.0
Jun2018 clipped UCB,1,2500000,failed,700400,0.7179472,,1794868,705132,124256421.27922975,124820600.82980402,
Zuo2024 clipped TS,1,2500000,failed,217882,0.91228,,2280700,219300,5.185292813309616e+18,5.185292813309793e+18,
Xu2021 observation-free UCB,1,2500000,simulated,859160.0,0.8453476,1.0,2113369,386631,0.0,859160.0,8591600.0
Xu2021 observation-free TS,1,2500000,simulated,859160.0,0.8453568,1.0,2113392,386608,0.0,859160.0,8591600.0
Jun2018 clipped UCB,1,5000000,failed,1038914,0.7908312,,3954156,1045844,130217254.91796057,131052119.53876425,
Zuo2024 clipped TS,1,5000000,failed,249401,0.9498006,,4749003,250997,6.79252039315223e+18,6.79252039315243e+18,
Xu2021 observation-free UCB,1,5000000,simulated,899584.0,0.919036,1.0,4595180,404820,0.0,899584.0,8995840.0
Xu2021 observation-free TS,1,5000000,simulated,899584.0,0.9190166,1.0,4595083,404917,0.0,899584.0,8995840.0
Jun2018 clipped UCB,1,10000000,failed,1430574,0.8559802,,8559802,1440198,127231985.0597637,128380052.92619635,
Zuo2024 clipped TS,1,10000000,failed,282154,0.9715969,,9715969,284031,8.698077025026987e+18,8.698077025027205e+18,
Xu2021 observation-free UCB,1,10000000,simulated,940008.0,0.9576991,1.0,9576991,423009,0.0,940008.0,9400080.0
Xu2021 observation-free TS,1,10000000,simulated,940008.0,0.9576828,1.0,9576828,423172,0.0,940008.0,9400080.0
Jun2018 clipped UCB,1,15000000,failed,1671724,0.8878027333333334,,13317041,1682959,129477304.82271188,130817582.983727,
Zuo2024 clipped TS,1,15000000,failed,300864,0.9798121333333333,,14697182,302818,9.886764957067743e+18,9.886764957067993e+18,
Xu2021 observation-free UCB,1,15000000,simulated,963656.0,0.9710902,1.0,14566353,433647,0.0,963656.0,9636560.0
Xu2021 observation-free TS,1,15000000,simulated,963656.0,0.9710815333333334,1.0,14566223,433777,0.0,963656.0,9636560.0
Jun2018 clipped UCB,1,20000000,failed,1844040,0.9071758,,18143516,1856484,128764710.83436023,130242470.7998532,
Zuo2024 clipped TS,1,20000000,failed,313867,0.98419685,,19683937,316063,1.077053724017993e+19,1.0770537240180187e+19,
Xu2021 observation-free UCB,1,20000000,simulated,980432.0,0.9779401,1.0,19558802,441198,0.0,980432.0,9804320.0
Xu2021 observation-free TS,1,20000000,simulated,980432.0,0.9779314,1.0,19558628,441372,0.0,980432.0,9804320.0
Jun2018 clipped UCB,1,25000000,failed,1977346,0.92038204,,23009551,1990449,122353590.40203686,123937664.50177035,
Zuo2024 clipped TS,1,25000000,failed,324430,0.98693516,,24673379,326621,1.1502119246087873e+19,1.150211924608813e+19,
Xu2021 observation-free UCB,1,25000000,simulated,993446.0,0.98211772,1.0,24552943,447057,0.0,993446.0,9934460.0
Xu2021 observation-free TS,1,25000000,simulated,993446.0,0.98211732,1.0,24552933,447067,0.0,993446.0,9934460.0
Jun2018 clipped UCB,2,100000,failed,79262,0.20214,,20214,79786,23084588.491418716,23148629.713641196,
Zuo2024 clipped TS,2,100000,failed,64058,0.35521,,35521,64479,4.4830968020671443e+17,4.483096802067656e+17,
Xu2021 observation-free UCB,2,100000,infeasible,671434.0,,,,,0.0,671434.0,6714340.0
Xu2021 observation-free TS,2,100000,infeasible,671434.0,,,,,0.0,671434.0,6714340.0
Jun2018 clipped UCB,2,250000,failed,174330,0.29806,,74515,175485,59955845.3745621,60096677.59678501,
Zuo2024 clipped TS,2,250000,failed,109285,0.559608,,139902,110098,1.3070039159550182e+18,1.3070039159551053e+18,
Xu2021 observation-free UCB,2,250000,infeasible,724872.0,,,,,0.0,724872.0,7248720.0
Xu2021 observation-free TS,2,250000,infeasible,724872.0,,,,,0.0,724872.0,7248720.0
Jun2018 clipped UCB,2,500000,failed,287666,0.420958,,210479,289521,99900532.38341081,100132891.82785444,
Zuo2024 clipped TS,2,500000,failed,140822,0.716502,,358251,141749,2.1664300660921388e+18,2.1664300660922527e+18,
Xu2021 observation-free UCB,2,500000,infeasible,765298.0,,,,,0.0,765298.0,7652980.0
Xu2021 observation-free TS,2,500000,infeasible,765298.0,,,,,0.0,765298.0,7652980.0
Jun2018 clipped UCB,2,1000000,failed,418266,0.578943,,578943,421057,124419910.50116573,124757889.5011561,
Zuo2024 clipped TS,2,1000000,failed,174660,0.824133,,824133,175867,3.334791431648825e+18,3.334791431648967e+18,
Xu2021 observation-free UCB,2,1000000,simulated,805722.0,0.637417,1.0,637417,362583,0.0,805722.0,8057220.0
Xu2021 observation-free TS,2,1000000,simulated,805722.0,0.637453,1.0,637453,362547,0.0,805722.0,8057220.0
Jun2018 clipped UCB,2,2500000,failed,700446,0.7179292,,1794823,705177,125020702.65172544,125585061.35067157,
Zuo2024 clipped TS,2,2500000,failed,216309,0.9129368,,2282342,217658,5.10794110557665e+18,5.107941105576833e+18,
Xu2021 observation-free UCB,2,2500000,simulated,859160.0,0.8453476,1.0,2113369,386631,0.0,859160.0,8591600.0
Xu2021 observation-free TS,2,2500000,simulated,859160.0,0.8453564,1.0,2113391,386609,0.0,859160.0,8591600.0
Jun2018 clipped UCB,2,5000000,failed,1038957,0.7908128,,3954064,1045936,126431356.900433,127266314.29477884,
Zuo2024 clipped TS,2,5000000,failed,249429,0.9497868,,4748934,251066,6.796251625965329e+18,6.796251625965526e+18,
Xu2021 observation-free UCB,2,5000000,simulated,899584.0,0.919036,1.0,4595180,404820,0.0,899584.0,8995840.0
Xu2021 observation-free TS,2,5000000,simulated,899584.0,0.9190022,1.0,4595011,404989,0.0,899584.0,8995840.0
Jun2018 clipped UCB,2,10000000,failed,1430605,0.8559865,,8559865,1440135,126806257.35993324,127954476.9242686,
Zuo2024 clipped TS,2,10000000,failed,280929,0.9717275,,9717275,282725,8.61828023025234e+18,8.618280230252582e+18,
Xu2021 observation-free UCB,2,10000000,simulated,940008.0,0.9576991,1.0,9576991,423009,0.0,940008.0,9400080.0
Xu2021 observation-free TS,2,10000000,simulated,940008.0,0.9576983,1.0,9576983,423017,0.0,940008.0,9400080.0
Jun2018 clipped UCB,2,15000000,failed,1671729,0.8878036,,13317054,1682946,127677584.47811998,129018358.36211689,
Zuo2024 clipped TS,2,15000000,failed,301018,0.9797979333333333,,14696969,303031,9.900661569042104e+18,9.900661569042344e+18,
Xu2021 observation-free UCB,2,15000000,simulated,963656.0,0.9710902,1.0,14566353,433647,0.0,963656.0,9636560.0
Xu2021 observation-free TS,2,15000000,simulated,963656.0,0.9710898666666666,1.0,14566348,433652,0.0,963656.0,9636560.0
Jun2018 clipped UCB,2,20000000,failed,1844037,0.90717715,,18143543,1856457,124314017.71310899,125792459.09512778,
Zuo2024 clipped TS,2,20000000,failed,313843,0.98420695,,19684139,315861,1.075677247282016e+19,1.0756772472820412e+19,
Xu2021 observation-free UCB,2,20000000,simulated,980432.0,0.9779401,1.0,19558802,441198,0.0,980432.0,9804320.0
Xu2021 observation-free TS,2,20000000,simulated,980432.0,0.9779361,1.0,19558722,441278,0.0,980432.0,9804320.0
Jun2018 clipped UCB,2,25000000,failed,1977163,0.92038204,,23009551,1990449,124188325.2539794,125772174.05122514,
Zuo2024 clipped TS,2,25000000,failed,324938,0.98691616,,24672904,327096,1.153560015284912e+19,1.1535600152849381e+19,
Xu2021 observation-free UCB,2,25000000,simulated,993446.0,0.98211772,1.0,24552943,447057,0.0,993446.0,9934460.0
Xu2021 observation-free TS,2,25000000,simulated,993446.0,0.9821212,1.0,24553030,446970,0.0,993446.0,9934460.0
Jun2018 clipped UCB,3,100000,failed,79176,0.20282,,20282,79718,23063502.14459743,23127459.14459748,
Zuo2024 clipped TS,3,100000,failed,63330,0.36231,,36231,63769,4.385032611918731e+17,4.385032611919255e+17,
Xu2021 observation-free UCB,3,100000,infeasible,671434.0,,,,,0.0,671434.0,6714340.0
Xu2021 observation-free TS,3,100000,infeasible,671434.0,,,,,0.0,671434.0,6714340.0
Jun2018 clipped UCB,3,250000,failed,175092,0.29484,,73710,176290,60035720.245243326,60177176.68968784,
Zuo2024 clipped TS,3,250000,failed,108850,0.561796,,140449,109551,1.294042667550922e+18,1.2940426675510134e+18,
