dataset,setting,regime,learner,method,repeat,T,K,target_mean,boundary_ratio,base_target_mean,target_feedback,lower_bound_source,mu_minus_K,z_star,cost,Lambda_T,normalized_cost,target_budget_fraction,target_cost,non_target_avg,H,T0,non_target_online_pulls,zero_non_target_pulls,online_ratio,status,seed,clean_sum_json,allocation_json,online_counts_json,trajectory_seconds
MovieLens-25M,near-boundary-fixed-k-v2,fixed,UCB,Ours,0,100000,5,0.016442451420029897,0.19765812362033866,0.016442451420029897,Bernoulli; same mean in clean and online rewards,"clean log: max(0, empirical mean - 2 beta)",0.0,0.10319240211994138,19037,19123.93791470531,0.9954539742236634,0.6045070126595578,11508,1882.25,80938,19062,0,1,1.0,simulated,1053608495,"[5.0, 4.0, 4.0, 3.0, 0.0]","[1899, 1882, 1882, 1866, 11508]","[0, 0, 0, 0, 80938]",0.09087812500001746
MovieLens-25M,near-boundary-fixed-k-v2,fixed,TS,Ours,0,100000,5,0.016442451420029897,0.19765812362033866,0.016442451420029897,Bernoulli; same mean in clean and online rewards,"clean log: max(0, empirical mean - 2 beta)",0.0,0.1481495861937196,31190,24967.322128044878,1.2492328908980357,0.6568451426739339,20487,2675.75,68785,31215,0,1,1.0,simulated,3860516830,"[5.0, 4.0, 4.0, 3.0, 0.0]","[2689, 2676, 2676, 2662, 20487]","[0, 0, 0, 0, 68785]",0.0018201249995399849
MovieLens-25M,near-boundary-fixed-k-v2,fixed,UCB,Ours,0,250000,5,0.010399119360792878,0.16538850331471416,0.016442451420029897,Bernoulli; same mean in clean and online rewards,"clean log: max(0, empirical mean - 2 beta)",0.0,0.08091436369622693,35704,36137.38150649174,0.9880073904520755,0.6164855478377773,22011,3423.25,214271,35729,0,1,1.0,simulated,3056284039,"[5.0, 4.0, 4.0, 3.0, 0.0]","[3445, 3423, 3423, 3402, 22011]","[0, 0, 0, 0, 214271]",0.0038034580002204166
MovieLens-25M,near-boundary-fixed-k-v2,fixed,TS,Ours,0,250000,5,0.010399119360792878,0.16538850331471416,0.016442451420029897,Bernoulli; same mean in clean and online rewards,"clean log: max(0, empirical mean - 2 beta)",0.0,0.11474666628860633,56031,46944.97392466051,1.1935463014618173,0.662954435937249,37146,4721.25,193944,56056,0,1,1.0,simulated,3504616736,"[5.0, 4.0, 4.0, 3.0, 0.0]","[4739, 4721, 4721, 4704, 37146]","[0, 0, 0, 0, 193944]",0.004327916999500303
MovieLens-25M,near-boundary-fixed-k-v2,fixed,UCB,Ours,0,1000000,5,0.005199559680396439,0.12672265195301305,0.016442451420029897,Bernoulli; same mean in clean and online rewards,"clean log: max(0, empirical mean - 2 beta)",0.0,0.05513363102069259,92596,94327.37318798502,0.9816450609248434,0.6301784094345328,58352,8561.0,907379,92621,0,1,1.0,simulated,4270751898,"[5.0, 4.0, 4.0, 3.0, 0.0]","[8594, 8561, 8561, 8528, 58352]","[0, 0, 0, 0, 907379]",0.015375374999166525
MovieLens-25M,near-boundary-fixed-k-v2,fixed,TS,Ours,0,1000000,5,0.005199559680396439,0.12672265195301305,0.016442451420029897,Bernoulli; same mean in clean and online rewards,"clean log: max(0, empirical mean - 2 beta)",0.0,0.07675400067010624,138185,121757.92036280714,1.1349159018833799,0.6686181568187575,92393,11448.0,861790,138210,0,1,1.0,simulated,24207267,"[5.0, 4.0, 4.0, 3.0, 0.0]","[11474, 11448, 11448, 11422, 92393]","[0, 0, 0, 0, 861790]",0.01832791700053349
MovieLens-25M,near-boundary-fixed-k-v2,fixed,UCB,Ours,0,2500000,5,0.0032884902840059796,0.10647180428867146,0.016442451420029897,Bernoulli; same mean in clean and online rewards,"clean log: max(0, empirical mean - 2 beta)",0.0,0.04243163100181381,173917,177511.8638078107,0.9797485997234371,0.6369762587901125,110781,15784.0,2326058,173942,0,1,1.0,simulated,2118080922,"[5.0, 4.0, 4.0, 3.0, 0.0]","[15827, 15784, 15784, 15741, 110781]","[0, 0, 0, 0, 2326058]",0.03862025000034919
MovieLens-25M,near-boundary-fixed-k-v2,fixed,TS,Ours,0,2500000,5,0.0032884902840059796,0.10647180428867146,0.016442451420029897,Bernoulli; same mean in clean and online rewards,"clean log: max(0, empirical mean - 2 beta)",0.0,0.05839242949654459,252863,228305.90053296532,1.1075622636546305,0.6707466098242922,169607,20814.0,2247112,252888,0,1,1.0,simulated,1339808009,"[5.0, 4.0, 4.0, 3.0, 0.0]","[20848, 20814, 20814, 20780, 169607]","[0, 0, 0, 0, 2247112]",0.047044584000104805
MovieLens-25M,near-boundary-fixed-k-v2,fixed,UCB,Ours,0,10000000,5,0.0016442451420029898,0.08201097775777105,0.016442451420029897,Bernoulli; same mean in clean and online rewards,"clean log: max(0, empirical mean - 2 beta)",0.0,0.02827468808536348,451292,460914.1102569438,0.9791238540048605,0.6447621495617029,290976,40079.0,9548683,451317,0,1,1.0,simulated,3185013100,"[5.0, 4.0, 4.0, 3.0, 0.0]","[40145, 40079, 40079, 40013, 290976]","[0, 0, 0, 0, 9548683]",0.15869358299914893
MovieLens-25M,near-boundary-fixed-k-v2,fixed,TS,Ours,0,10000000,5,0.0016442451420029898,0.08201097775777105,0.016442451420029897,Bernoulli; same mean in clean and online rewards,"clean log: max(0, empirical mean - 2 beta)",0.0,0.03829417243741995,635772,589995.1435423779,1.077588530954296,0.6723731148902437,427476,52074.0,9364203,635797,0,1,1.0,simulated,3055782829,"[5.0, 4.0, 4.0, 3.0, 0.0]","[52126, 52074, 52074, 52022, 427476]","[0, 0, 0, 0, 9364203]",0.1945544999998674
