dataset,setting,regime,learner,method,repeat,T,K,target_mean,boundary_ratio,base_target_mean,target_feedback,lower_bound_source,mu_minus_K,z_star,cost,Lambda_T,normalized_cost,target_budget_fraction,target_cost,non_target_avg,H,T0,non_target_online_pulls,zero_non_target_pulls,online_ratio,status,seed,clean_sum_json,allocation_json,online_counts_json,trajectory_seconds
MovieLens-25M,near-boundary-clean-log-v1,fixed,UCB,Ours,0,100000,10,0.016442451420029897,0.15688135668249298,0.016442451420029897,Bernoulli; same mean in clean and online rewards,"clean log: max(0, empirical mean - 2 beta)",0.0,0.13659846567636336,26257,25059.44785667459,1.0477884488985836,0.6025821685645733,15822,1159.4444444444443,73693,26307,0,1,1.0,simulated,2492326142,"[3.0, 5.0, 5.0, 5.0, 4.0, 3.0, 4.0, 5.0, 3.0, 0.0]","[1145, 1171, 1171, 1171, 1158, 1145, 1158, 1171, 1145, 15822]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 73693]",0.13452579200384207
MovieLens-25M,near-boundary-clean-log-v1,fixed,TS,Ours,0,100000,10,0.016442451420029897,0.15688135668249298,0.016442451420029897,Bernoulli; same mean in clean and online rewards,"clean log: max(0, empirical mean - 2 beta)",0.0,0.18939614126930276,41902,32976.642231990234,1.2706569609246445,0.6381795618347573,26741,1684.5555555555557,58048,41952,0,1,1.0,simulated,410435471,"[3.0, 5.0, 5.0, 5.0, 4.0, 3.0, 4.0, 5.0, 3.0, 0.0]","[1673, 1694, 1694, 1694, 1683, 1673, 1683, 1694, 1673, 26741]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 58048]",0.0031346670002676547
MovieLens-25M,near-boundary-clean-log-v1,fixed,UCB,Ours,0,250000,10,0.010399119360792878,0.13126894207261167,0.016442451420029897,Bernoulli; same mean in clean and online rewards,"clean log: max(0, empirical mean - 2 beta)",0.0,0.10717857919779214,48746,47353.36579619098,1.0294094026980665,0.6157018011734297,30013,2081.4444444444443,201204,48796,0,1,1.0,simulated,2722242303,"[3.0, 5.0, 5.0, 5.0, 4.0, 3.0, 4.0, 5.0, 3.0, 0.0]","[2063, 2096, 2096, 2096, 2080, 2063, 2080, 2096, 2063, 30013]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 201204]",0.004439500000444241
MovieLens-25M,near-boundary-clean-log-v1,fixed,TS,Ours,0,250000,10,0.010399119360792878,0.13126894207261167,0.016442451420029897,Bernoulli; same mean in clean and online rewards,"clean log: max(0, empirical mean - 2 beta)",0.0,0.14776493260187024,74722,61975.520735617014,1.20566957910299,0.6480420759615642,48423,2922.1111111111113,175228,74772,0,1,1.0,simulated,3210379574,"[3.0, 5.0, 5.0, 5.0, 4.0, 3.0, 4.0, 5.0, 3.0, 0.0]","[2907, 2934, 2934, 2934, 2921, 2907, 2921, 2934, 2907, 48423]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 175228]",0.00795066700084135
MovieLens-25M,near-boundary-clean-log-v1,fixed,UCB,Ours,0,1000000,10,0.005199559680396439,0.10057983550920645,0.016442451420029897,Bernoulli; same mean in clean and online rewards,"clean log: max(0, empirical mean - 2 beta)",0.0,0.0730350127684482,124959,123603.82576037137,1.0109638535157957,0.6305348154194576,78791,5129.777777777777,874991,125009,0,1,1.0,simulated,538957713,"[3.0, 5.0, 5.0, 5.0, 4.0, 3.0, 4.0, 5.0, 3.0, 0.0]","[5102, 5152, 5152, 5152, 5127, 5102, 5127, 5152, 5102, 78791]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 874991]",0.017825957998866215
MovieLens-25M,near-boundary-clean-log-v1,fixed,TS,Ours,0,1000000,10,0.005199559680396439,0.10057983550920645,0.016442451420029897,Bernoulli; same mean in clean and online rewards,"clean log: max(0, empirical mean - 2 beta)",0.0,0.09962408820708102,182939,160643.27736779582,1.1387902624842352,0.6579242261081563,120360,6953.222222222223,817011,182989,0,1,1.0,simulated,2299809992,"[3.0, 5.0, 5.0, 5.0, 4.0, 3.0, 4.0, 5.0, 3.0, 0.0]","[6931, 6971, 6971, 6971, 6951, 6931, 6951, 6971, 6931, 120360]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 817011]",0.03546079200168606
MovieLens-25M,near-boundary-clean-log-v1,fixed,UCB,Ours,0,2500000,10,0.0032884902840059796,0.08450672706639467,0.016442451420029897,Bernoulli; same mean in clean and online rewards,"clean log: max(0, empirical mean - 2 beta)",0.0,0.05618853144972871,233367,232606.34472215077,1.0032701398526245,0.637776549383589,148836,9392.333333333334,2266583,233417,0,1,1.0,simulated,3638602152,"[3.0, 5.0, 5.0, 5.0, 4.0, 3.0, 4.0, 5.0, 3.0, 0.0]","[9355, 9422, 9422, 9422, 9389, 9355, 9389, 9422, 9355, 148836]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 2266583]",0.045373874992947094
MovieLens-25M,near-boundary-clean-log-v1,fixed,TS,Ours,0,2500000,10,0.0032884902840059796,0.08450672706639467,0.016442451420029897,Bernoulli; same mean in clean and online rewards,"clean log: max(0, empirical mean - 2 beta)",0.0,0.07606913560903711,333740,301113.0238807741,1.108354582936089,0.6621052316174267,220971,12529.888888888889,2166210,333790,0,1,1.0,simulated,2130585543,"[3.0, 5.0, 5.0, 5.0, 4.0, 3.0, 4.0, 5.0, 3.0, 0.0]","[12501, 12553, 12553, 12553, 12527, 12501, 12527, 12553, 12501, 220971]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 2166210]",0.0927570839994587
MovieLens-25M,near-boundary-clean-log-v1,fixed,UCB,Ours,0,10000000,10,0.0016442451420029898,0.06509215618281318,0.016442451420029897,Bernoulli; same mean in clean and online rewards,"clean log: max(0, empirical mean - 2 beta)",0.0,0.0374079153844314,601650,603968.343962668,0.9961614810017074,0.6459203856062494,388618,23670.222222222223,9398300,601700,0,1,1.0,simulated,4067707996,"[3.0, 5.0, 5.0, 5.0, 4.0, 3.0, 4.0, 5.0, 3.0, 0.0]","[23614, 23715, 23715, 23715, 23665, 23614, 23665, 23715, 23614, 388618]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 9398300]",0.18176074999792036
MovieLens-25M,near-boundary-clean-log-v1,fixed,TS,Ours,0,10000000,10,0.0016442451420029898,0.06509215618281318,0.016442451420029897,Bernoulli; same mean in clean and online rewards,"clean log: max(0, empirical mean - 2 beta)",0.0,0.05007896869120011,836677,777780.8263738758,1.0757233549979708,0.6660814149307319,557295,31042.444444444445,9163273,836727,0,1,1.0,simulated,3965532255,"[3.0, 5.0, 5.0, 5.0, 4.0, 3.0, 4.0, 5.0, 3.0, 0.0]","[30998, 31078, 31078, 31078, 31038, 30998, 31038, 31078, 30998, 557295]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 9163273]",0.3972859579953365
