dataset,setting,learner,method,T,K,repeat,Delta_K,multiplier,sigma,exploration_parameter,delta,N0_i,cost,cost_definition,T0,H,target_ratio,online_ratio,post_attack_target_ratio,post_attack_H,allocation_json,clean_sum_json,online_counts_json,phase1_counts_json,phase2_counts_json,post_attack_counts_json,C1,C2,budget_log_json,status,infeasible_reason,seed,clean_seed,z_star,mu_minus_K,modifications,magnitude,trajectory_seconds
MovieLens-25M,ucb-xu-gap-v1,UCB,Ours,1000000,10,0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.05,5,95343,injected samples,95393,904607,0.965186,1.0,1.0,904607,"[3827, 3892, 3892, 3892, 3860, 3827, 3860, 3892, 3827, 60574]","[3.0, 5.0, 5.0, 5.0, 4.0, 3.0, 4.0, 5.0, 3.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 904607]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 904607]",0,0,,simulated,,2510320679,2036,0.05711279003049802,0.0,0,0.0,0.026968374993884936
MovieLens-25M,ucb-xu-gap-v1,UCB,Xu2021,1000000,10,0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.05,0,,scheduled corrupted rounds,0,1000000,,,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,,,,,,"{""C1"": null, ""C2"": null, ""K"": 10, ""T"": 1000000, ""feasible"": false, ""learner"": ""UCB"", ""learner_setting"": ""mean + sqrt(log(T)/N)"", ""mu"": 0.0, ""reason"": ""undefined at mu_K=0"", ""source"": ""https://proceedings.neurips.cc/paper_files/paper/2021/file/be315e7f05e9f13629031915fe87ad44-Supplemental.pdf"", ""source_section"": ""A.2"", ""target_feedback"": ""deterministic mu_K"", ""total"": null, ""version"": ""xu2021-original-settings-v1""}",infeasible,undefined at mu_K=0,3031883363,,,,,,
MovieLens-25M,ucb-xu-gap-v1,UCB,Ours,1000000,10,1,0.0,0.0,0.3333333333333333,0.3333333333333333,0.05,5,95244,injected samples,95294,904706,0.965253,1.0,1.0,904706,"[3895, 3798, 3895, 3895, 3863, 3831, 3863, 3831, 3831, 60542]","[5.0, 2.0, 5.0, 5.0, 4.0, 3.0, 4.0, 3.0, 3.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 904706]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 904706]",0,0,,simulated,,1954561270,102036,0.057084622366261245,0.0,0,0.0,0.026840625010663643
MovieLens-25M,ucb-xu-gap-v1,UCB,Xu2021,1000000,10,1,0.0,0.0,0.3333333333333333,0.3333333333333333,0.05,0,,scheduled corrupted rounds,0,1000000,,,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,,,,,,"{""C1"": null, ""C2"": null, ""K"": 10, ""T"": 1000000, ""feasible"": false, ""learner"": ""UCB"", ""learner_setting"": ""mean + sqrt(log(T)/N)"", ""mu"": 0.0, ""reason"": ""undefined at mu_K=0"", ""source"": ""https://proceedings.neurips.cc/paper_files/paper/2021/file/be315e7f05e9f13629031915fe87ad44-Supplemental.pdf"", ""source_section"": ""A.2"", ""target_feedback"": ""deterministic mu_K"", ""total"": null, ""version"": ""xu2021-original-settings-v1""}",infeasible,undefined at mu_K=0,4089573217,,,,,,
MovieLens-25M,ucb-xu-gap-v1,UCB,Ours,1000000,10,2,0.0,0.0,0.3333333333333333,0.3333333333333333,0.05,5,95245,injected samples,95295,904705,0.965252,1.0,1.0,904705,"[3863, 3863, 3831, 3863, 3863, 3895, 3831, 3863, 3831, 60542]","[4.0, 4.0, 3.0, 4.0, 4.0, 5.0, 3.0, 4.0, 3.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 904705]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 904705]",0,0,,simulated,,2610083268,202036,0.057084633560964174,0.0,0,0.0,0.02770679199602455
MovieLens-25M,ucb-xu-gap-v1,UCB,Xu2021,1000000,10,2,0.0,0.0,0.3333333333333333,0.3333333333333333,0.05,0,,scheduled corrupted rounds,0,1000000,,,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,,,,,,"{""C1"": null, ""C2"": null, ""K"": 10, ""T"": 1000000, ""feasible"": false, ""learner"": ""UCB"", ""learner_setting"": ""mean + sqrt(log(T)/N)"", ""mu"": 0.0, ""reason"": ""undefined at mu_K=0"", ""source"": ""https://proceedings.neurips.cc/paper_files/paper/2021/file/be315e7f05e9f13629031915fe87ad44-Supplemental.pdf"", ""source_section"": ""A.2"", ""target_feedback"": ""deterministic mu_K"", ""total"": null, ""version"": ""xu2021-original-settings-v1""}",infeasible,undefined at mu_K=0,2419383568,,,,,,
MovieLens-25M,ucb-xu-gap-v1,UCB,Ours,1000000,10,3,0.0,0.0,0.3333333333333333,0.3333333333333333,0.05,5,95116,injected samples,95166,904834,0.965339,1.0,1.0,904834,"[3835, 3868, 3803, 3868, 3868, 3868, 3835, 3868, 3803, 60500]","[3.0, 4.0, 2.0, 4.0, 4.0, 4.0, 3.0, 4.0, 2.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 904834]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 904834]",0,0,,simulated,,3388860075,302036,0.057047071003136315,0.0,0,0.0,0.02634408400626853
MovieLens-25M,ucb-xu-gap-v1,UCB,Xu2021,1000000,10,3,0.0,0.0,0.3333333333333333,0.3333333333333333,0.05,0,,scheduled corrupted rounds,0,1000000,,,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,,,,,,"{""C1"": null, ""C2"": null, ""K"": 10, ""T"": 1000000, ""feasible"": false, ""learner"": ""UCB"", ""learner_setting"": ""mean + sqrt(log(T)/N)"", ""mu"": 0.0, ""reason"": ""undefined at mu_K=0"", ""source"": ""https://proceedings.neurips.cc/paper_files/paper/2021/file/be315e7f05e9f13629031915fe87ad44-Supplemental.pdf"", ""source_section"": ""A.2"", ""target_feedback"": ""deterministic mu_K"", ""total"": null, ""version"": ""xu2021-original-settings-v1""}",infeasible,undefined at mu_K=0,3657977731,,,,,,
MovieLens-25M,ucb-xu-gap-v1,UCB,Ours,1000000,10,4,0.0,0.0,0.3333333333333333,0.3333333333333333,0.05,5,95309,injected samples,95359,904641,0.965209,1.0,1.0,904641,"[3893, 3861, 3893, 3796, 3828, 3893, 3893, 3861, 3828, 60563]","[5.0, 4.0, 5.0, 2.0, 3.0, 5.0, 5.0, 4.0, 3.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 904641]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 904641]",0,0,,simulated,,228161165,402036,0.05710339824514135,0.0,0,0.0,0.026486457994906232
MovieLens-25M,ucb-xu-gap-v1,UCB,Xu2021,1000000,10,4,0.0,0.0,0.3333333333333333,0.3333333333333333,0.05,0,,scheduled corrupted rounds,0,1000000,,,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,,,,,,"{""C1"": null, ""C2"": null, ""K"": 10, ""T"": 1000000, ""feasible"": false, ""learner"": ""UCB"", ""learner_setting"": ""mean + sqrt(log(T)/N)"", ""mu"": 0.0, ""reason"": ""undefined at mu_K=0"", ""source"": ""https://proceedings.neurips.cc/paper_files/paper/2021/file/be315e7f05e9f13629031915fe87ad44-Supplemental.pdf"", ""source_section"": ""A.2"", ""target_feedback"": ""deterministic mu_K"", ""total"": null, ""version"": ""xu2021-original-settings-v1""}",infeasible,undefined at mu_K=0,2257273521,,,,,,
