algorithm,repeat,T,status,native_cost,target_ratio,post_phase_ratio,target_pulls,non_target_pulls,clipped_cost,requested_cost,sample_equivalent_cost
Jun2018 clipped UCB,0,100000,failed,64331,0.18964,,18964,81036,24316795.67116913,24381126.67116924,
Zuo2024 clipped TS,0,100000,failed,55935,0.29391,,29391,70609,5.37593787265994e+17,5.3759378726605056e+17,
Xu2021 observation-free UCB,0,100000,infeasible,828932.0,,,,,0.0,828932.0,8289320.0
Xu2021 observation-free TS,0,100000,infeasible,828932.0,,,,,0.0,828932.0,8289320.0
Jun2018 clipped UCB,0,250000,failed,146668,0.259624,,64906,185094,76427659.57904524,76574327.5790455,
Zuo2024 clipped TS,0,250000,failed,100060,0.495508,,123877,126123,1.7151545894340255e+18,1.7151545894341253e+18,
Xu2021 observation-free UCB,0,250000,infeasible,894904.0,,,,,0.0,894904.0,8949040.0
Xu2021 observation-free TS,0,250000,infeasible,894904.0,,,,,0.0,894904.0,8949040.0
Jun2018 clipped UCB,0,400000,failed,210953,0.3353475,,134139,265861,112508647.87900129,112719600.87900102,
Zuo2024 clipped TS,0,400000,failed,114405,0.6391575,,255663,144337,2.2462931130910636e+18,2.2462931130911818e+18,
Xu2021 observation-free UCB,0,400000,infeasible,928744.0,,,,,0.0,928744.0,9287440.0
Xu2021 observation-free TS,0,400000,infeasible,928744.0,,,,,0.0,928744.0,9287440.0
Jun2018 clipped UCB,0,550000,failed,267669,0.38522727272727275,,211875,338125,142507246.56507328,142774915.56507427,
Zuo2024 clipped TS,0,550000,failed,135610,0.6890381818181818,,378971,171029,3.1538649925451453e+18,3.15386499254528e+18,
Xu2021 observation-free UCB,0,550000,infeasible,951674.0,,,,,0.0,951674.0,9516740.0
Xu2021 observation-free TS,0,550000,infeasible,951674.0,,,,,0.0,951674.0,9516740.0
Jun2018 clipped UCB,0,700000,failed,307454,0.44627428571428573,,312392,387608,151176653.18514627,151484107.18514663,
Zuo2024 clipped TS,0,700000,failed,145395,0.7381842857142857,,516729,183271,3.62149511437126e+18,3.6214951143714033e+18,
Xu2021 observation-free UCB,0,700000,infeasible,969038.0,,,,,0.0,969038.0,9690380.0
Xu2021 observation-free TS,0,700000,infeasible,969038.0,,,,,0.0,969038.0,9690380.0
Jun2018 clipped UCB,0,850000,failed,350951,0.4795835294117647,,407646,442354,177809145.8896678,178160096.88966691,
Zuo2024 clipped TS,0,850000,failed,155512,0.7689470588235294,,653605,196395,4.1587209320183066e+18,4.158720932018462e+18,
Xu2021 observation-free UCB,0,850000,infeasible,983016.0,,,,,0.0,983016.0,9830160.0
Xu2021 observation-free TS,0,850000,infeasible,983016.0,,,,,0.0,983016.0,9830160.0
Jun2018 clipped UCB,0,1000000,failed,377479,0.523651,,523651,476349,198948832.51311374,199326311.51311353,
Zuo2024 clipped TS,0,1000000,failed,156584,0.802604,,802604,197396,4.2012205280522307e+18,4.2012205280523935e+18,
Xu2021 observation-free UCB,0,1000000,simulated,994718.0,0.552376,1.0,552376,447624,0.0,994718.0,9947180.0
Xu2021 observation-free TS,0,1000000,simulated,994718.0,0.552348,1.0,552348,447652,0.0,994718.0,9947180.0
Jun2018 clipped UCB,1,100000,failed,63662,0.19461,,19461,80539,24960029.78563737,25023691.785637375,
Zuo2024 clipped TS,1,100000,failed,54063,0.31814,,31814,68186,5.0135047601172986e+17,5.0135047601178554e+17,
Xu2021 observation-free UCB,1,100000,infeasible,828932.0,,,,,0.0,828932.0,8289320.0
Xu2021 observation-free TS,1,100000,infeasible,828932.0,,,,,0.0,828932.0,8289320.0
Jun2018 clipped UCB,1,250000,failed,142985,0.278132,,69533,180467,67680181.01223654,67823166.01223665,
Zuo2024 clipped TS,1,250000,failed,97453,0.508184,,127046,122954,1.6300571358773932e+18,1.6300571358774915e+18,
Xu2021 observation-free UCB,1,250000,infeasible,894904.0,,,,,0.0,894904.0,8949040.0
Xu2021 observation-free TS,1,250000,infeasible,894904.0,,,,,0.0,894904.0,8949040.0
Jun2018 clipped UCB,1,400000,failed,206306,0.3475675,,139027,260973,100966073.94788757,101172379.94788782,
Zuo2024 clipped TS,1,400000,failed,114785,0.638015,,255206,144794,2.260573925443424e+18,2.26057392544354e+18,
Xu2021 observation-free UCB,1,400000,infeasible,928744.0,,,,,0.0,928744.0,9287440.0
Xu2021 observation-free TS,1,400000,infeasible,928744.0,,,,,0.0,928744.0,9287440.0
Jun2018 clipped UCB,1,550000,failed,265073,0.39251636363636366,,215884,334116,140727747.47156617,140992820.471566,
Zuo2024 clipped TS,1,550000,failed,135681,0.6887927272727272,,378836,171164,3.158838358875099e+18,3.158838358875233e+18,
Xu2021 observation-free UCB,1,550000,infeasible,951674.0,,,,,0.0,951674.0,9516740.0
Xu2021 observation-free TS,1,550000,infeasible,951674.0,,,,,0.0,951674.0,9516740.0
Jun2018 clipped UCB,1,700000,failed,308158,0.44381857142857145,,310673,389327,151004467.3840133,151312625.38401288,
Zuo2024 clipped TS,1,700000,failed,147013,0.7353457142857143,,514742,185258,3.7004449077438817e+18,3.7004449077440364e+18,
Xu2021 observation-free UCB,1,700000,infeasible,969038.0,,,,,0.0,969038.0,9690380.0
Xu2021 observation-free TS,1,700000,infeasible,969038.0,,,,,0.0,969038.0,9690380.0
Jun2018 clipped UCB,1,850000,failed,343988,0.4900305882352941,,416526,433474,166854658.39656362,167198646.39656374,
Zuo2024 clipped TS,1,850000,failed,151849,0.7746776470588236,,658476,191524,3.9550003995013524e+18,3.9550003995015025e+18,
Xu2021 observation-free UCB,1,850000,infeasible,983016.0,,,,,0.0,983016.0,9830160.0
Xu2021 observation-free TS,1,850000,infeasible,983016.0,,,,,0.0,983016.0,9830160.0
Jun2018 clipped UCB,1,1000000,failed,373766,0.527977,,527977,472023,186679112.7777513,187052878.77775264,
Zuo2024 clipped TS,1,1000000,failed,166976,0.789289,,789289,210711,4.787103660364263e+18,4.787103660364431e+18,
Xu2021 observation-free UCB,1,1000000,simulated,994718.0,0.552376,1.0,552376,447624,0.0,994718.0,9947180.0
Xu2021 observation-free TS,1,1000000,simulated,994718.0,0.552387,1.0,552387,447613,0.0,994718.0,9947180.0
Jun2018 clipped UCB,2,100000,failed,64470,0.18475,,18475,81525,25698821.420478564,25763291.42047859,
Zuo2024 clipped TS,2,100000,failed,52150,0.34231,,34231,65769,4.664300608190174e+17,4.664300608190689e+17,
Xu2021 observation-free UCB,2,100000,infeasible,828932.0,,,,,0.0,828932.0,8289320.0
Xu2021 observation-free TS,2,100000,infeasible,828932.0,,,,,0.0,828932.0,8289320.0
Jun2018 clipped UCB,2,250000,failed,146245,0.26188,,65470,184530,74876695.88389777,75022940.8838979,
Zuo2024 clipped TS,2,250000,failed,94922,0.52098,,130245,119755,1.5463256261223598e+18,1.546325626122455e+18,
Xu2021 observation-free UCB,2,250000,infeasible,894904.0,,,,,0.0,894904.0,8949040.0
Xu2021 observation-free TS,2,250000,infeasible,894904.0,,,,,0.0,894904.0,8949040.0
Jun2018 clipped UCB,2,400000,failed,209041,0.3393975,,135759,264241,107704097.82930326,107913138.82930349,
Zuo2024 clipped TS,2,400000,failed,122640,0.61326,,245304,154696,2.5802864472464046e+18,2.5802864472465295e+18,
Xu2021 observation-free UCB,2,400000,infeasible,928744.0,,,,,0.0,928744.0,9287440.0
Xu2021 observation-free TS,2,400000,infeasible,928744.0,,,,,0.0,928744.0,9287440.0
Jun2018 clipped UCB,2,550000,failed,266103,0.3895636363636364,,214260,335740,146507440.4296504,146773543.42964992,
Zuo2024 clipped TS,2,550000,failed,135068,0.6894836363636364,,379216,170784,3.1448325653276984e+18,3.1448325653278377e+18,
Xu2021 observation-free UCB,2,550000,infeasible,951674.0,,,,,0.0,951674.0,9516740.0
Xu2021 observation-free TS,2,550000,infeasible,951674.0,,,,,0.0,951674.0,9516740.0
Jun2018 clipped UCB,2,700000,failed,311659,0.43813857142857143,,306697,393303,159210961.43734333,159522620.43734413,
Zuo2024 clipped TS,2,700000,failed,148962,0.73132,,511924,188076,3.813866645127402e+18,3.8138666451275494e+18,
Xu2021 observation-free UCB,2,700000,infeasible,969038.0,,,,,0.0,969038.0,9690380.0
Xu2021 observation-free TS,2,700000,infeasible,969038.0,,,,,0.0,969038.0,9690380.0
Jun2018 clipped UCB,2,850000,failed,348592,0.48293411764705885,,410494,439506,172869807.6821681,173218399.6821676,
Zuo2024 clipped TS,2,850000,failed,154148,0.77134,,655639,194361,4.0730268300642995e+18,4.073026830064454e+18,
Xu2021 observation-free UCB,2,850000,infeasible,983016.0,,,,,0.0,983016.0,9830160.0
Xu2021 observation-free TS,2,850000,infeasible,983016.0,,,,,0.0,983016.0,9830160.0
Jun2018 clipped UCB,2,1000000,failed,380443,0.520437,,520437,479563,182923405.1256879,183303848.12568685,
Zuo2024 clipped TS,2,1000000,failed,163918,0.793508,,793508,206492,4.5973374434319493e+18,4.597337443432113e+18,
Xu2021 observation-free UCB,2,1000000,simulated,994718.0,0.552376,1.0,552376,447624,0.0,994718.0,9947180.0
Xu2021 observation-free TS,2,1000000,simulated,994718.0,0.552335,1.0,552335,447665,0.0,994718.0,9947180.0
Jun2018 clipped UCB,3,100000,failed,64438,0.18815,,18815,81185,25044833.051309556,25109271.051309567,
Zuo2024 clipped TS,3,100000,failed,52817,0.33368,,33368,66632,4.7874877390231584e+17,4.7874877390236954e+17,
Xu2021 observation-free UCB,3,100000,infeasible,828932.0,,,,,0.0,828932.0,8289320.0
Xu2021 observation-free TS,3,100000,infeasible,828932.0,,,,,0.0,828932.0,8289320.0
Jun2018 clipped UCB,3,250000,failed,145649,0.26504,,66260,183740,69041898.44209956,69187547.44209935,
Zuo2024 clipped TS,3,250000,failed,92659,0.532052,,133013,116987,1.47567666383264e+18,1.4756766638327316e+18,
Xu2021 observation-free UCB,3,250000,infeasible,894904.0,,,,,0.0,894904.0,8949040.0
Xu2021 observation-free TS,3,250000,infeasible,894904.0,,,,,0.0,894904.0,8949040.0
Jun2018 clipped UCB,3,400000,failed,210756,0.3341325,,133653,266347,105348467.09714872,105559223.0971493,
Zuo2024 clipped TS,3,400000,failed,123149,0.6119725,,244789,155211,2.597498868363877e+18,2.597498868364003e+18,
Xu2021 observation-free UCB,3,400000,infeasible,928744.0,,,,,0.0,928744.0,9287440.0
Xu2021 observation-free TS,3,400000,infeasible,928744.0,,,,,0.0,928744.0,9287440.0
Jun2018 clipped UCB,3,550000,failed,264911,0.39242,,215831,334169,136273079.41168997,136537990.4116904,
Zuo2024 clipped TS,3,550000,failed,133581,0.6935709090909091,,381464,168536,3.062582557959455e+18,3.0625825579595863e+18,
Xu2021 observation-free UCB,3,550000,infeasible,951674.0,,,,,0.0,951674.0,9516740.0
