dataset,setting,learner,method,T,K,repeat,c,delta,target_mean,r_eg,boundary_ratio,B,cost,C,T0,H,nK,total_target_ratio,online_ratio,non_target_online_pulls,greedy_non_target_pulls,exploratory_non_target_pulls,initialization_non_target_pulls,modified_reward_count,target_reward_sum,cost_definition,allocation_json,online_counts_json,exploratory_counts_json,initialization_counts_json,reward_sums_json,observed_reward_sums_json,means_json,seed,trajectory_seconds,status
Controlled Bernoulli,epsilon-greedy-comparison-v1,epsilon-greedy,Ours,100000,10,0,1.0,0.05,0.00395184115477351,0.045497252664309304,0.08685889638065036,23,9105,9105,9105,90895,4551,0.95424,0.999757962484185,22,0,22,0,0,,injected samples,"[506, 506, 506, 506, 506, 506, 506, 506, 506, 4551]","[6, 2, 1, 0, 4, 3, 1, 3, 2, 90873]","[6, 2, 1, 0, 4, 3, 1, 3, 2, 2]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,,"[0.2, 0.275, 0.35000000000000003, 0.42500000000000004, 0.5, 0.5750000000000001, 0.6500000000000001, 0.7250000000000001, 0.8, 0.00395184115477351]",1353531576,0.001167665992397815,simulated
Controlled Bernoulli,epsilon-greedy-comparison-v1,epsilon-greedy,Clipped Suppression,100000,10,0,1.0,0.05,0.00395184115477351,0.045497252664309304,0.08685889638065036,23,99989,99989,0,100000,0,0.00011,0.00011,99989,99878,102,9,19785,0.0,suppressed non-target rounds (including 0->0),"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[99895, 5, 17, 16, 13, 8, 12, 8, 15, 11]","[16, 4, 16, 15, 12, 7, 11, 7, 14, 10]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[19734.0, 2.0, 4.0, 8.0, 7.0, 4.0, 9.0, 5.0, 12.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.2, 0.275, 0.35000000000000003, 0.42500000000000004, 0.5, 0.5750000000000001, 0.6500000000000001, 0.7250000000000001, 0.8, 0.00395184115477351]",2032715107,0.0020263750047888607,simulated
Controlled Bernoulli,epsilon-greedy-comparison-v1,epsilon-greedy,Ours,100000,10,1,1.0,0.05,0.00395184115477351,0.045497252664309304,0.08685889638065036,23,9105,9105,9105,90895,4551,0.9543,0.999823972715771,16,0,16,0,0,,injected samples,"[506, 506, 506, 506, 506, 506, 506, 506, 506, 4551]","[3, 2, 2, 1, 1, 1, 0, 4, 2, 90879]","[3, 2, 2, 1, 1, 1, 0, 4, 2, 5]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,,"[0.2, 0.275, 0.35000000000000003, 0.42500000000000004, 0.5, 0.5750000000000001, 0.6500000000000001, 0.7250000000000001, 0.8, 0.00395184115477351]",2209247942,0.0010345420014346018,simulated
Controlled Bernoulli,epsilon-greedy-comparison-v1,epsilon-greedy,Clipped Suppression,100000,10,1,1.0,0.05,0.00395184115477351,0.045497252664309304,0.08685889638065036,23,5138,5138,0,100000,0,0.94862,0.94862,5138,5044,85,9,1045,365.0,suppressed non-target rounds (including 0->0),"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[5052, 6, 8, 11, 14, 13, 7, 15, 12, 94862]","[7, 5, 7, 10, 13, 12, 6, 14, 11, 9]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[997.0, 2.0, 2.0, 6.0, 7.0, 7.0, 6.0, 10.0, 8.0, 365.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 365.0]","[0.2, 0.275, 0.35000000000000003, 0.42500000000000004, 0.5, 0.5750000000000001, 0.6500000000000001, 0.7250000000000001, 0.8, 0.00395184115477351]",2849181253,0.0014552079956047237,simulated
Controlled Bernoulli,epsilon-greedy-comparison-v1,epsilon-greedy,Ours,100000,10,2,1.0,0.05,0.00395184115477351,0.045497252664309304,0.08685889638065036,23,9105,9105,9105,90895,4551,0.95422,0.9997359590736564,24,0,24,0,0,,injected samples,"[506, 506, 506, 506, 506, 506, 506, 506, 506, 4551]","[6, 2, 0, 0, 4, 3, 1, 5, 3, 90871]","[6, 2, 0, 0, 4, 3, 1, 5, 3, 5]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,,"[0.2, 0.275, 0.35000000000000003, 0.42500000000000004, 0.5, 0.5750000000000001, 0.6500000000000001, 0.7250000000000001, 0.8, 0.00395184115477351]",159901053,0.0010212080087512732,simulated
Controlled Bernoulli,epsilon-greedy-comparison-v1,epsilon-greedy,Clipped Suppression,100000,10,2,1.0,0.05,0.00395184115477351,0.045497252664309304,0.08685889638065036,23,99986,99986,0,100000,0,0.00014,0.00014,99986,99889,88,9,20111,0.0,suppressed non-target rounds (including 0->0),"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[99899, 11, 16, 10, 14, 6, 14, 5, 11, 14]","[9, 10, 15, 9, 13, 5, 13, 4, 10, 13]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[20065.0, 5.0, 3.0, 7.0, 7.0, 5.0, 8.0, 3.0, 8.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.2, 0.275, 0.35000000000000003, 0.42500000000000004, 0.5, 0.5750000000000001, 0.6500000000000001, 0.7250000000000001, 0.8, 0.00395184115477351]",4155413977,0.0020044999982928857,simulated
Controlled Bernoulli,epsilon-greedy-comparison-v1,epsilon-greedy,Ours,100000,10,3,1.0,0.05,0.00395184115477351,0.045497252664309304,0.08685889638065036,23,9105,9105,9105,90895,4551,0.9543,0.999823972715771,16,0,16,0,0,,injected samples,"[506, 506, 506, 506, 506, 506, 506, 506, 506, 4551]","[2, 1, 1, 2, 2, 1, 3, 4, 0, 90879]","[2, 1, 1, 2, 2, 1, 3, 4, 0, 2]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,,"[0.2, 0.275, 0.35000000000000003, 0.42500000000000004, 0.5, 0.5750000000000001, 0.6500000000000001, 0.7250000000000001, 0.8, 0.00395184115477351]",2654626913,0.001181792002171278,simulated
Controlled Bernoulli,epsilon-greedy-comparison-v1,epsilon-greedy,Clipped Suppression,100000,10,3,1.0,0.05,0.00395184115477351,0.045497252664309304,0.08685889638065036,23,99992,99992,0,100000,0,8e-05,8e-05,99992,99909,74,9,19978,0.0,suppressed non-target rounds (including 0->0),"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[99918, 9, 8, 10, 8, 12, 6, 9, 12, 8]","[8, 8, 7, 9, 7, 11, 5, 8, 11, 7]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[19932.0, 3.0, 4.0, 6.0, 4.0, 9.0, 3.0, 6.0, 11.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.2, 0.275, 0.35000000000000003, 0.42500000000000004, 0.5, 0.5750000000000001, 0.6500000000000001, 0.7250000000000001, 0.8, 0.00395184115477351]",501604419,0.002059749996988103,simulated
Controlled Bernoulli,epsilon-greedy-comparison-v1,epsilon-greedy,Ours,100000,10,4,1.0,0.05,0.00395184115477351,0.045497252664309304,0.08685889638065036,23,9105,9105,9105,90895,4551,0.95427,0.999790967599978,19,0,19,0,0,,injected samples,"[506, 506, 506, 506, 506, 506, 506, 506, 506, 4551]","[2, 0, 2, 1, 4, 0, 3, 5, 2, 90876]","[2, 0, 2, 1, 4, 0, 3, 5, 2, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,,"[0.2, 0.275, 0.35000000000000003, 0.42500000000000004, 0.5, 0.5750000000000001, 0.6500000000000001, 0.7250000000000001, 0.8, 0.00395184115477351]",1542910873,0.001031583989970386,simulated
Controlled Bernoulli,epsilon-greedy-comparison-v1,epsilon-greedy,Clipped Suppression,100000,10,4,1.0,0.05,0.00395184115477351,0.045497252664309304,0.08685889638065036,23,99989,99989,0,100000,0,0.00011,0.00011,99989,99900,80,9,20015,0.0,suppressed non-target rounds (including 0->0),"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[99912, 9, 8, 12, 11, 10, 11, 7, 9, 11]","[11, 8, 7, 11, 10, 9, 10, 6, 8, 10]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[19976.0, 3.0, 3.0, 4.0, 3.0, 6.0, 9.0, 5.0, 6.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.2, 0.275, 0.35000000000000003, 0.42500000000000004, 0.5, 0.5750000000000001, 0.6500000000000001, 0.7250000000000001, 0.8, 0.00395184115477351]",2241194354,0.00201424999977462,simulated
