dataset,setting,learner,method,T,K,repeat,c,delta,target_mean,r_eg,boundary_ratio,B,expected_exploration_per_arm,expected_non_target_exploratory_pulls,cost,C,nK,target_cost,non_target_cost,target_budget_fraction,non_target_budget_fraction,normalized_cost,cost_over_sqrt_TKlogT,H,T0,xi,non_target_online_pulls,greedy_non_target_pulls,exploratory_non_target_pulls,success,individual_exploration_bound,all_greedy_target,online_ratio,allocation_json,online_counts_json,exploratory_counts_json,means_json,seed,trajectory_seconds,status
Controlled Bernoulli,epsilon-greedy-boundary-v1,epsilon-greedy,Ours,100000,5,0,1.0,0.05,0.002576651263715913,0.029664793948382652,0.08685889638065036,22,10.806812796530096,11.296221802694998,5936,5936,2968,2968,2968,0.5,0.5,1.0005125958954513,2.474093131360519,94064,5936,88,5,0,5,1,1,1,0.9999468447014799,"[742, 742, 742, 742, 2968]","[3, 1, 1, 0, 94059]","[3, 1, 1, 0, 0]","[0.2, 0.4, 0.6000000000000001, 0.8, 0.002576651263715913]",329486907,0.0009597500029485673,simulated
Controlled Bernoulli,epsilon-greedy-boundary-v1,epsilon-greedy,Ours,100000,5,1,1.0,0.05,0.002576651263715913,0.029664793948382652,0.08685889638065036,22,10.806812796530096,11.296221802694998,5936,5936,2968,2968,2968,0.5,0.5,1.0005125958954513,2.474093131360519,94064,5936,88,11,0,11,1,1,1,0.9998830583432556,"[742, 742, 742, 742, 2968]","[1, 3, 3, 4, 94053]","[1, 3, 3, 4, 1]","[0.2, 0.4, 0.6000000000000001, 0.8, 0.002576651263715913]",1073713351,0.0008836670021992177,simulated
Controlled Bernoulli,epsilon-greedy-boundary-v1,epsilon-greedy,Ours,100000,5,2,1.0,0.05,0.002576651263715913,0.029664793948382652,0.08685889638065036,22,10.806812796530096,11.296221802694998,5936,5936,2968,2968,2968,0.5,0.5,1.0005125958954513,2.474093131360519,94064,5936,88,16,0,16,1,1,1,0.9998299030447355,"[742, 742, 742, 742, 2968]","[2, 4, 3, 7, 94048]","[2, 4, 3, 7, 2]","[0.2, 0.4, 0.6000000000000001, 0.8, 0.002576651263715913]",890494855,0.0008314579899888486,simulated
Controlled Bernoulli,epsilon-greedy-boundary-v1,epsilon-greedy,Ours,100000,5,3,1.0,0.05,0.002576651263715913,0.029664793948382652,0.08685889638065036,22,10.806812796530096,11.296221802694998,5936,5936,2968,2968,2968,0.5,0.5,1.0005125958954513,2.474093131360519,94064,5936,88,7,0,7,1,1,1,0.9999255825820718,"[742, 742, 742, 742, 2968]","[2, 0, 3, 2, 94057]","[2, 0, 3, 2, 5]","[0.2, 0.4, 0.6000000000000001, 0.8, 0.002576651263715913]",4272461360,0.0008029169985093176,simulated
Controlled Bernoulli,epsilon-greedy-boundary-v1,epsilon-greedy,Ours,100000,5,4,1.0,0.05,0.002576651263715913,0.029664793948382652,0.08685889638065036,22,10.806812796530096,11.296221802694998,5936,5936,2968,2968,2968,0.5,0.5,1.0005125958954513,2.474093131360519,94064,5936,88,12,0,12,1,1,1,0.9998724272835516,"[742, 742, 742, 742, 2968]","[4, 3, 3, 2, 94052]","[4, 3, 3, 2, 3]","[0.2, 0.4, 0.6000000000000001, 0.8, 0.002576651263715913]",1728802868,0.0008032909972826019,simulated
Controlled Bernoulli,epsilon-greedy-boundary-v1,epsilon-greedy,Ours,100000,5,5,1.0,0.05,0.002576651263715913,0.029664793948382652,0.08685889638065036,22,10.806812796530096,11.296221802694998,5936,5936,2968,2968,2968,0.5,0.5,1.0005125958954513,2.474093131360519,94064,5936,88,16,0,16,1,1,1,0.9998299030447355,"[742, 742, 742, 742, 2968]","[1, 7, 4, 4, 94048]","[1, 7, 4, 4, 2]","[0.2, 0.4, 0.6000000000000001, 0.8, 0.002576651263715913]",4261178245,0.0008087919995887205,simulated
Controlled Bernoulli,epsilon-greedy-boundary-v1,epsilon-greedy,Ours,100000,5,6,1.0,0.05,0.002576651263715913,0.029664793948382652,0.08685889638065036,22,10.806812796530096,11.296221802694998,5936,5936,2968,2968,2968,0.5,0.5,1.0005125958954513,2.474093131360519,94064,5936,88,14,0,14,1,1,1,0.9998511651641435,"[742, 742, 742, 742, 2968]","[4, 2, 4, 4, 94050]","[4, 2, 4, 4, 3]","[0.2, 0.4, 0.6000000000000001, 0.8, 0.002576651263715913]",3866416039,0.0008062499982770532,simulated
Controlled Bernoulli,epsilon-greedy-boundary-v1,epsilon-greedy,Ours,100000,5,7,1.0,0.05,0.002576651263715913,0.029664793948382652,0.08685889638065036,22,10.806812796530096,11.296221802694998,5936,5936,2968,2968,2968,0.5,0.5,1.0005125958954513,2.474093131360519,94064,5936,88,12,0,12,1,1,1,0.9998724272835516,"[742, 742, 742, 742, 2968]","[1, 2, 5, 4, 94052]","[1, 2, 5, 4, 3]","[0.2, 0.4, 0.6000000000000001, 0.8, 0.002576651263715913]",401908862,0.0008009579905774444,simulated
Controlled Bernoulli,epsilon-greedy-boundary-v1,epsilon-greedy,Ours,100000,5,8,1.0,0.05,0.002576651263715913,0.029664793948382652,0.08685889638065036,22,10.806812796530096,11.296221802694998,5936,5936,2968,2968,2968,0.5,0.5,1.0005125958954513,2.474093131360519,94064,5936,88,9,0,9,1,1,1,0.9999043204626638,"[742, 742, 742, 742, 2968]","[3, 3, 0, 3, 94055]","[3, 3, 0, 3, 2]","[0.2, 0.4, 0.6000000000000001, 0.8, 0.002576651263715913]",4011297893,0.0007998330111149698,simulated
Controlled Bernoulli,epsilon-greedy-boundary-v1,epsilon-greedy,Ours,100000,5,9,1.0,0.05,0.002576651263715913,0.029664793948382652,0.08685889638065036,22,10.806812796530096,11.296221802694998,5936,5936,2968,2968,2968,0.5,0.5,1.0005125958954513,2.474093131360519,94064,5936,88,9,0,9,1,1,1,0.9999043204626638,"[742, 742, 742, 742, 2968]","[3, 2, 3, 1, 94055]","[3, 2, 3, 1, 4]","[0.2, 0.4, 0.6000000000000001, 0.8, 0.002576651263715913]",1877644556,0.0008000410016393289,simulated
